STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2000Q3,All nationalities,Unemployed,82.0
Persons aged 15 years and over,2000Q3,All nationalities,Not in labour force,1081.4
Persons aged 15 years and over,2000Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,13.8
Persons aged 15 years and over,2000Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,10.7
Persons aged 15 years and over,2000Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,9.9
Persons aged 15 years and over,2000Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2000Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.1
Persons aged 15 years and over,2000Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2000Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2000Q3,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2000Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2000Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2000Q3,UK,All ILO economic status,59.8
Persons aged 15 years and over,2000Q3,UK,In labour force,38.4
Persons aged 15 years and over,2000Q3,UK,In employment,35.6
Persons aged 15 years and over,2000Q3,UK,Unemployed,2.9
Persons aged 15 years and over,2000Q3,UK,Not in labour force,21.4
Persons aged 15 years and over,2000Q3,Irish,All ILO economic status,2866.6
Persons aged 15 years and over,2000Q3,Irish,In labour force,1825.6
Persons aged 15 years and over,2000Q3,Irish,In employment,1748.6
Persons aged 15 years and over,2000Q3,Irish,Unemployed,77.0
Persons aged 15 years and over,2000Q3,Irish,Not in labour force,1041.1
Persons aged 15 years and over,2000Q3,Non-Irish,All ILO economic status,115.2
Persons aged 15 years and over,2000Q3,Non-Irish,In labour force,74.9
Persons aged 15 years and over,2000Q3,Non-Irish,In employment,69.9
Persons aged 15 years and over,2000Q3,Non-Irish,Unemployed,5.0
Persons aged 15 years and over,2000Q3,Non-Irish,Not in labour force,40.3
Persons aged 15 years and over,2000Q3,Other nationalities (7),All ILO economic status,41.6
Persons aged 15 years and over,2000Q3,Other nationalities (7),In labour force,25.8
Persons aged 15 years and over,2000Q3,Other nationalities (7),In employment,24.4
Persons aged 15 years and over,2000Q3,Other nationalities (7),Unemployed,1.3
Persons aged 15 years and over,2000Q3,Other nationalities (7),Not in labour force,15.9
Persons aged 15 years and over,2000Q4,All nationalities,All ILO economic status,3004.2
Persons aged 15 years and over,2000Q4,All nationalities,In labour force,1856.3
Persons aged 15 years and over,2000Q4,All nationalities,In employment,1787.6
Persons aged 15 years and over,2000Q4,All nationalities,Unemployed,68.8
Persons aged 15 years and over,2000Q4,All nationalities,Not in labour force,1147.8
Persons aged 15 years and over,2000Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,13.3
Persons aged 15 years and over,2000Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,9.9
Persons aged 15 years and over,2000Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,9.6
Persons aged 15 years and over,2000Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2000Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.4
Persons aged 15 years and over,2000Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2000Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2000Q4,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2000Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2000Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2000Q4,UK,All ILO economic status,62.9
Persons aged 15 years and over,2000Q4,UK,In labour force,39.9
Persons aged 15 years and over,2000Q4,UK,In employment,38.0
Persons aged 15 years and over,2000Q4,UK,Unemployed,1.9
Persons aged 15 years and over,2000Q4,UK,Not in labour force,23.0
Persons aged 15 years and over,2000Q4,Irish,All ILO economic status,2880.8
Persons aged 15 years and over,2000Q4,Irish,In labour force,1779.0
Persons aged 15 years and over,2000Q4,Irish,In employment,1713.8
Persons aged 15 years and over,2000Q4,Irish,Unemployed,65.2
Persons aged 15 years and over,2000Q4,Irish,Not in labour force,1101.8
Persons aged 15 years and over,2000Q4,Non-Irish,All ILO economic status,123.3
Persons aged 15 years and over,2000Q4,Non-Irish,In labour force,77.3
Persons aged 15 years and over,2000Q4,Non-Irish,In employment,73.7
Persons aged 15 years and over,2000Q4,Non-Irish,Unemployed,3.6
Persons aged 15 years and over,2000Q4,Non-Irish,Not in labour force,46.0
Persons aged 15 years and over,2000Q4,Other nationalities (7),All ILO economic status,47.1
Persons aged 15 years and over,2000Q4,Other nationalities (7),In labour force,27.5
Persons aged 15 years and over,2000Q4,Other nationalities (7),In employment,26.1
Persons aged 15 years and over,2000Q4,Other nationalities (7),Unemployed,1.4
Persons aged 15 years and over,2000Q4,Other nationalities (7),Not in labour force,19.6
Persons aged 15 years and over,2001Q1,All nationalities,All ILO economic status,3011.7
Persons aged 15 years and over,2001Q1,All nationalities,In labour force,1853.2
Persons aged 15 years and over,2001Q1,All nationalities,In employment,1780.4
Persons aged 15 years and over,2001Q1,All nationalities,Unemployed,72.9
Persons aged 15 years and over,2001Q1,All nationalities,Not in labour force,1158.5
Persons aged 15 years and over,2001Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,13.6
Persons aged 15 years and over,2001Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,10.2
Persons aged 15 years and over,2001Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,9.8
Persons aged 15 years and over,2001Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2001Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.4
Persons aged 15 years and over,2001Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2001Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2001Q1,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2001Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2001Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2001Q1,UK,All ILO economic status,64.3
Persons aged 15 years and over,2001Q1,UK,In labour force,41.0
Persons aged 15 years and over,2001Q1,UK,In employment,38.3
Persons aged 15 years and over,2001Q1,UK,Unemployed,2.7
Persons aged 15 years and over,2001Q1,UK,Not in labour force,23.3
Persons aged 15 years and over,2001Q1,Irish,All ILO economic status,2883.8
Persons aged 15 years and over,2001Q1,Irish,In labour force,1771.4
Persons aged 15 years and over,2001Q1,Irish,In employment,1702.8
Persons aged 15 years and over,2001Q1,Irish,Unemployed,68.6
Persons aged 15 years and over,2001Q1,Irish,Not in labour force,1112.5
Persons aged 15 years and over,2001Q1,Non-Irish,All ILO economic status,127.9
Persons aged 15 years and over,2001Q1,Non-Irish,In labour force,81.9
Persons aged 15 years and over,2001Q1,Non-Irish,In employment,77.6
Persons aged 15 years and over,2001Q1,Non-Irish,Unemployed,4.3
Persons aged 15 years and over,2001Q1,Non-Irish,Not in labour force,46.0
Persons aged 15 years and over,2001Q1,Other nationalities (7),All ILO economic status,49.9
Persons aged 15 years and over,2001Q1,Other nationalities (7),In labour force,30.7
Persons aged 15 years and over,2001Q1,Other nationalities (7),In employment,29.5
Persons aged 15 years and over,2001Q1,Other nationalities (7),Unemployed,
Persons aged 15 years and over,2001Q1,Other nationalities (7),Not in labour force,19.2
Persons aged 15 years and over,2001Q2,All nationalities,All ILO economic status,3024.8
Persons aged 15 years and over,2001Q2,All nationalities,In labour force,1887.5
Persons aged 15 years and over,2001Q2,All nationalities,In employment,1809.7
Persons aged 15 years and over,2001Q2,All nationalities,Unemployed,77.8
Persons aged 15 years and over,2001Q2,All nationalities,Not in labour force,1137.2
Persons aged 15 years and over,2001Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,13.9
Persons aged 15 years and over,2001Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,10.8
Persons aged 15 years and over,2001Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,10.5
Persons aged 15 years and over,2001Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2001Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.0
Persons aged 15 years and over,2001Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2001Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2001Q2,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2001Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2001Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2001Q2,UK,All ILO economic status,66.2
Persons aged 15 years and over,2001Q2,UK,In labour force,42.4
Persons aged 15 years and over,2001Q2,UK,In employment,39.7
Persons aged 15 years and over,2001Q2,UK,Unemployed,2.8
Persons aged 15 years and over,2001Q2,UK,Not in labour force,23.8
Persons aged 15 years and over,2001Q2,Irish,All ILO economic status,2887.8
Persons aged 15 years and over,2001Q2,Irish,In labour force,1796.0
Persons aged 15 years and over,2001Q2,Irish,In employment,1723.3
Persons aged 15 years and over,2001Q2,Irish,Unemployed,72.8
Persons aged 15 years and over,2001Q2,Irish,Not in labour force,1091.7
Persons aged 15 years and over,2001Q2,Non-Irish,All ILO economic status,137.0
Persons aged 15 years and over,2001Q2,Non-Irish,In labour force,91.5
Persons aged 15 years and over,2001Q2,Non-Irish,In employment,86.4
Persons aged 15 years and over,2001Q2,Non-Irish,Unemployed,5.0
Persons aged 15 years and over,2001Q2,Non-Irish,Not in labour force,45.5
Persons aged 15 years and over,2001Q2,Other nationalities (7),All ILO economic status,56.9
Persons aged 15 years and over,2001Q2,Other nationalities (7),In labour force,38.2
Persons aged 15 years and over,2001Q2,Other nationalities (7),In employment,36.3
Persons aged 15 years and over,2001Q2,Other nationalities (7),Unemployed,1.9
Persons aged 15 years and over,2001Q2,Other nationalities (7),Not in labour force,18.7
Persons aged 15 years and over,2001Q3,All nationalities,All ILO economic status,3043.8
Persons aged 15 years and over,2001Q3,All nationalities,In labour force,1954.6
Persons aged 15 years and over,2001Q3,All nationalities,In employment,1866.8
Persons aged 15 years and over,2001Q3,All nationalities,Unemployed,87.8
Persons aged 15 years and over,2001Q3,All nationalities,Not in labour force,1089.3
Persons aged 15 years and over,2001Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,12.5
Persons aged 15 years and over,2001Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,10.0
Persons aged 15 years and over,2001Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,9.7
Persons aged 15 years and over,2001Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2001Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,2.5
Persons aged 15 years and over,2001Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2001Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2001Q3,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2001Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2001Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2001Q3,UK,All ILO economic status,67.9
Persons aged 15 years and over,2001Q3,UK,In labour force,43.5
Persons aged 15 years and over,2001Q3,UK,In employment,40.2
Persons aged 15 years and over,2001Q3,UK,Unemployed,3.3
Persons aged 15 years and over,2001Q3,UK,Not in labour force,24.3
Persons aged 15 years and over,2001Q3,Irish,All ILO economic status,2900.7
Persons aged 15 years and over,2001Q3,Irish,In labour force,1858.1
Persons aged 15 years and over,2001Q3,Irish,In employment,1776.4
Persons aged 15 years and over,2001Q3,Irish,Unemployed,81.7
Persons aged 15 years and over,2001Q3,Irish,Not in labour force,1042.6
Persons aged 15 years and over,2001Q3,Non-Irish,All ILO economic status,143.2
Persons aged 15 years and over,2001Q3,Non-Irish,In labour force,96.5
Persons aged 15 years and over,2001Q3,Non-Irish,In employment,90.4
Persons aged 15 years and over,2001Q3,Non-Irish,Unemployed,6.0
Persons aged 15 years and over,2001Q3,Non-Irish,Not in labour force,46.7
Persons aged 15 years and over,2001Q3,Other nationalities (7),All ILO economic status,62.9
Persons aged 15 years and over,2001Q3,Other nationalities (7),In labour force,42.9
Persons aged 15 years and over,2001Q3,Other nationalities (7),In employment,40.5
Persons aged 15 years and over,2001Q3,Other nationalities (7),Unemployed,2.4
Persons aged 15 years and over,2001Q3,Other nationalities (7),Not in labour force,19.9
Persons aged 15 years and over,2001Q4,All nationalities,All ILO economic status,3064.8
