Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Public administration and defence; compulsory social security (O),37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Education (P),29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Human health and social work activities (Q),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Other NACE activities (R to U),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Services (G to U),35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q2,Not stated,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,All NACE economic sectors,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"Agriculture, forestry and fishing (A)",52.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Transportation and storage (H),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Accommodation and food service activities (I),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Information and communication (J),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"Professional, scientific and technical activities (M)",39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Administrative and support service activities (N),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Public administration and defence; compulsory social security (O),37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Human health and social work activities (Q),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Other NACE activities (R to U),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Industry and Construction (B to F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Services (G to U),35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q3,Not stated,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,All NACE economic sectors,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"Agriculture, forestry and fishing (A)",51.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Construction (F),41.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Transportation and storage (H),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Accommodation and food service activities (I),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"Professional, scientific and technical activities (M)",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Administrative and support service activities (N),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Public administration and defence; compulsory social security (O),37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Education (P),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Human health and social work activities (Q),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Other NACE activities (R to U),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Industry and Construction (B to F),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Services (G to U),35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2001Q4,Not stated,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,All NACE economic sectors,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"Agriculture, forestry and fishing (A)",51.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Construction (F),41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Transportation and storage (H),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Accommodation and food service activities (I),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Administrative and support service activities (N),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Public administration and defence; compulsory social security (O),37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Education (P),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,"Financial, insurance and real estate activities (K, L)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Other NACE activities (R to U),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Services (G to U),35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q1,Not stated,33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,All NACE economic sectors,37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"Agriculture, forestry and fishing (A)",52.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Construction (F),41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Transportation and storage (H),40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Accommodation and food service activities (I),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"Professional, scientific and technical activities (M)",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Administrative and support service activities (N),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Public administration and defence; compulsory social security (O),37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Education (P),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Human health and social work activities (Q),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Industry (B to E),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,"Financial, insurance and real estate activities (K, L)",38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Other NACE activities (R to U),32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Services (G to U),35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2002Q2,Not stated,35.5
