Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q2,Part-time,X1 Other/Not stated,301.7
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,All occupational groups,1818.4
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q3,All employment status,X1 Other/Not stated,1818.4
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,All occupational groups,1512.0
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q3,Full-time,X1 Other/Not stated,1512.0
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,All occupational groups,306.5
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q3,Part-time,X1 Other/Not stated,306.5
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,All occupational groups,1787.6
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q4,All employment status,X1 Other/Not stated,1787.6
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,All occupational groups,1484.0
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q4,Full-time,X1 Other/Not stated,1484.0
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,All occupational groups,303.6
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2000Q4,Part-time,X1 Other/Not stated,303.6
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,All occupational groups,1780.4
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2001Q1,All employment status,X1 Other/Not stated,1780.4
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,All occupational groups,1474.9
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2001Q1,Full-time,X1 Other/Not stated,1474.9
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,All occupational groups,305.5
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2001Q1,Part-time,X1 Other/Not stated,305.5
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,All occupational groups,1809.7
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2001Q2,All employment status,7 Sales and customer service,
