STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,1998Q3,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.6
Persons aged 15 years and over in Employment,1998Q3,UK,Transportation and storage (H),1.2
Persons aged 15 years and over in Employment,1998Q3,UK,Accommodation and food service activities (I),1.8
Persons aged 15 years and over in Employment,1998Q3,UK,Information and communication (J),2.3
Persons aged 15 years and over in Employment,1998Q3,UK,"Professional, scientific and technical activities (M)",2.3
Persons aged 15 years and over in Employment,1998Q3,UK,Administrative and support service activities (N),1.6
Persons aged 15 years and over in Employment,1998Q3,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q3,UK,Education (P),2.4
Persons aged 15 years and over in Employment,1998Q3,UK,Human health and social work activities (Q),2.6
Persons aged 15 years and over in Employment,1998Q3,UK,Industry (B to E),7.5
Persons aged 15 years and over in Employment,1998Q3,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q3,UK,Other NACE activities (R to U),2.0
Persons aged 15 years and over in Employment,1998Q3,UK,Not stated,
Persons aged 15 years and over in Employment,1998Q3,Irish,All NACE economic sectors,1584.9
Persons aged 15 years and over in Employment,1998Q3,Irish,"Agriculture, forestry and fishing (A)",136.0
Persons aged 15 years and over in Employment,1998Q3,Irish,Construction (F),109.9
Persons aged 15 years and over in Employment,1998Q3,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),228.5
Persons aged 15 years and over in Employment,1998Q3,Irish,Transportation and storage (H),66.4
Persons aged 15 years and over in Employment,1998Q3,Irish,Accommodation and food service activities (I),107.9
Persons aged 15 years and over in Employment,1998Q3,Irish,Information and communication (J),63.7
Persons aged 15 years and over in Employment,1998Q3,Irish,"Professional, scientific and technical activities (M)",71.4
Persons aged 15 years and over in Employment,1998Q3,Irish,Administrative and support service activities (N),50.1
Persons aged 15 years and over in Employment,1998Q3,Irish,Public administration and defence; compulsory social security (O),67.5
Persons aged 15 years and over in Employment,1998Q3,Irish,Education (P),88.5
Persons aged 15 years and over in Employment,1998Q3,Irish,Human health and social work activities (Q),121.7
Persons aged 15 years and over in Employment,1998Q3,Irish,Industry (B to E),318.9
Persons aged 15 years and over in Employment,1998Q3,Irish,"Financial, insurance and real estate activities (K, L)",66.0
Persons aged 15 years and over in Employment,1998Q3,Irish,Other NACE activities (R to U),79.5
Persons aged 15 years and over in Employment,1998Q3,Irish,Not stated,8.8
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,All NACE economic sectors,51.4
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,"Agriculture, forestry and fishing (A)",1.4
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Construction (F),2.0
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.1
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Transportation and storage (H),1.9
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Accommodation and food service activities (I),5.6
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Information and communication (J),4.4
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,"Professional, scientific and technical activities (M)",3.4
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Administrative and support service activities (N),2.5
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Education (P),3.2
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Human health and social work activities (Q),5.2
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Industry (B to E),10.5
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,"Financial, insurance and real estate activities (K, L)",1.5
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Other NACE activities (R to U),4.2
Persons aged 15 years and over in Employment,1998Q3,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),All NACE economic sectors,13.5
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),1.1
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Accommodation and food service activities (I),2.2
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Information and communication (J),1.3
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Human health and social work activities (Q),2.2
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Industry (B to E),1.9
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Other NACE activities (R to U),1.5
Persons aged 15 years and over in Employment,1998Q3,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,1998Q4,All nationalities,All NACE economic sectors,1615.7
Persons aged 15 years and over in Employment,1998Q4,All nationalities,"Agriculture, forestry and fishing (A)",137.0
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Construction (F),115.1
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),227.5
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Transportation and storage (H),70.4
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Accommodation and food service activities (I),104.5
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Information and communication (J),67.7
Persons aged 15 years and over in Employment,1998Q4,All nationalities,"Professional, scientific and technical activities (M)",75.2
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Administrative and support service activities (N),53.3
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Public administration and defence; compulsory social security (O),66.1
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Education (P),97.0
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Human health and social work activities (Q),123.3
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Industry (B to E),321.1
Persons aged 15 years and over in Employment,1998Q4,All nationalities,"Financial, insurance and real estate activities (K, L)",67.0
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Other NACE activities (R to U),79.1
Persons aged 15 years and over in Employment,1998Q4,All nationalities,Not stated,11.5
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,6.5
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),1.6
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,1998Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,1998Q4,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,1998Q4,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,1998Q4,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,1998Q4,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
