Statistic,Quarter,Region,value
Persons aged 15 years and over in Employment,2021Q2,Dublin,718.2
Persons aged 15 years and over in Employment,2021Q2,Mid-East,343.6
Persons aged 15 years and over in Employment,2021Q2,Midland,142.1
Persons aged 15 years and over in Employment,2021Q3,State,2515.0
Persons aged 15 years and over in Employment,2021Q3,Northern and Western,433.3
Persons aged 15 years and over in Employment,2021Q3,Border,198.8
Persons aged 15 years and over in Employment,2021Q3,West,234.5
Persons aged 15 years and over in Employment,2021Q3,Southern,810.2
Persons aged 15 years and over in Employment,2021Q3,Mid-West,237.5
Persons aged 15 years and over in Employment,2021Q3,South-East,207.6
Persons aged 15 years and over in Employment,2021Q3,South-West,365.1
Persons aged 15 years and over in Employment,2021Q3,Eastern and Midland,1271.5
Persons aged 15 years and over in Employment,2021Q3,Dublin,752.4
Persons aged 15 years and over in Employment,2021Q3,Mid-East,370.9
Persons aged 15 years and over in Employment,2021Q3,Midland,148.2
Persons aged 15 years and over in Employment,2021Q4,State,2551.4
Persons aged 15 years and over in Employment,2021Q4,Northern and Western,426.9
Persons aged 15 years and over in Employment,2021Q4,Border,191.9
Persons aged 15 years and over in Employment,2021Q4,West,235.0
Persons aged 15 years and over in Employment,2021Q4,Southern,817.9
Persons aged 15 years and over in Employment,2021Q4,Mid-West,245.2
Persons aged 15 years and over in Employment,2021Q4,South-East,212.5
Persons aged 15 years and over in Employment,2021Q4,South-West,360.2
Persons aged 15 years and over in Employment,2021Q4,Eastern and Midland,1306.6
Persons aged 15 years and over in Employment,2021Q4,Dublin,774.2
Persons aged 15 years and over in Employment,2021Q4,Mid-East,375.4
Persons aged 15 years and over in Employment,2021Q4,Midland,157.0
Persons aged 15 years and over in Employment,2022Q1,State,2559.4
Persons aged 15 years and over in Employment,2022Q1,Northern and Western,434.4
Persons aged 15 years and over in Employment,2022Q1,Border,194.3
Persons aged 15 years and over in Employment,2022Q1,West,240.0
Persons aged 15 years and over in Employment,2022Q1,Southern,821.3
Persons aged 15 years and over in Employment,2022Q1,Mid-West,237.2
Persons aged 15 years and over in Employment,2022Q1,South-East,211.1
Persons aged 15 years and over in Employment,2022Q1,South-West,373.0
Persons aged 15 years and over in Employment,2022Q1,Eastern and Midland,1303.7
Persons aged 15 years and over in Employment,2022Q1,Dublin,770.8
Persons aged 15 years and over in Employment,2022Q1,Mid-East,375.7
Persons aged 15 years and over in Employment,2022Q1,Midland,157.3
Persons aged 15 years and over in Employment,2022Q2,State,2601.2
Persons aged 15 years and over in Employment,2022Q2,Northern and Western,439.4
Persons aged 15 years and over in Employment,2022Q2,Border,198.6
Persons aged 15 years and over in Employment,2022Q2,West,240.9
Persons aged 15 years and over in Employment,2022Q2,Southern,840.7
Persons aged 15 years and over in Employment,2022Q2,Mid-West,252.3
Persons aged 15 years and over in Employment,2022Q2,South-East,215.7
Persons aged 15 years and over in Employment,2022Q2,South-West,372.7
Persons aged 15 years and over in Employment,2022Q2,Eastern and Midland,1321.1
Persons aged 15 years and over in Employment,2022Q2,Dublin,781.6
Persons aged 15 years and over in Employment,2022Q2,Mid-East,379.8
Persons aged 15 years and over in Employment,2022Q2,Midland,159.6
Persons aged 15 years and over in Employment,2022Q3,State,2602.6
Persons aged 15 years and over in Employment,2022Q3,Northern and Western,440.4
Persons aged 15 years and over in Employment,2022Q3,Border,199.3
Persons aged 15 years and over in Employment,2022Q3,West,241.1
Persons aged 15 years and over in Employment,2022Q3,Southern,842.5
Persons aged 15 years and over in Employment,2022Q3,Mid-West,246.5
Persons aged 15 years and over in Employment,2022Q3,South-East,223.0
Persons aged 15 years and over in Employment,2022Q3,South-West,373.1
Persons aged 15 years and over in Employment,2022Q3,Eastern and Midland,1319.7
Persons aged 15 years and over in Employment,2022Q3,Dublin,780.7
Persons aged 15 years and over in Employment,2022Q3,Mid-East,384.0
Persons aged 15 years and over in Employment,2022Q3,Midland,155.0
Persons aged 15 years and over in Employment,2022Q4,State,2616.7
Persons aged 15 years and over in Employment,2022Q4,Northern and Western,444.8
Persons aged 15 years and over in Employment,2022Q4,Border,200.3
Persons aged 15 years and over in Employment,2022Q4,West,244.5
Persons aged 15 years and over in Employment,2022Q4,Southern,839.4
Persons aged 15 years and over in Employment,2022Q4,Mid-West,245.5
Persons aged 15 years and over in Employment,2022Q4,South-East,219.1
Persons aged 15 years and over in Employment,2022Q4,South-West,374.8
Persons aged 15 years and over in Employment,2022Q4,Eastern and Midland,1332.6
Persons aged 15 years and over in Employment,2022Q4,Dublin,783.4
Persons aged 15 years and over in Employment,2022Q4,Mid-East,393.7
Persons aged 15 years and over in Employment,2022Q4,Midland,155.4
Persons aged 15 years and over in Employment,2023Q1,State,2652.7
Persons aged 15 years and over in Employment,2023Q1,Northern and Western,452.6
Persons aged 15 years and over in Employment,2023Q1,Border,204.5
Persons aged 15 years and over in Employment,2023Q1,West,248.1
Persons aged 15 years and over in Employment,2023Q1,Southern,852.1
Persons aged 15 years and over in Employment,2023Q1,Mid-West,248.6
Persons aged 15 years and over in Employment,2023Q1,South-East,222.8
Persons aged 15 years and over in Employment,2023Q1,South-West,380.7
Persons aged 15 years and over in Employment,2023Q1,Eastern and Midland,1348.0
Persons aged 15 years and over in Employment,2023Q1,Dublin,795.2
Persons aged 15 years and over in Employment,2023Q1,Mid-East,389.9
Persons aged 15 years and over in Employment,2023Q1,Midland,162.9
Persons aged 15 years and over in Employment,2023Q2,State,2682.7
Persons aged 15 years and over in Employment,2023Q2,Northern and Western,458.0
Persons aged 15 years and over in Employment,2023Q2,Border,203.9
Persons aged 15 years and over in Employment,2023Q2,West,254.0
Persons aged 15 years and over in Employment,2023Q2,Southern,858.4
Persons aged 15 years and over in Employment,2023Q2,Mid-West,255.3
Persons aged 15 years and over in Employment,2023Q2,South-East,220.0
Persons aged 15 years and over in Employment,2023Q2,South-West,383.1
Persons aged 15 years and over in Employment,2023Q2,Eastern and Midland,1366.3
Persons aged 15 years and over in Employment,2023Q2,Dublin,806.7
Persons aged 15 years and over in Employment,2023Q2,Mid-East,399.9
Persons aged 15 years and over in Employment,2023Q2,Midland,159.7
Persons aged 15 years and over in Employment,2023Q3,State,2696.2
Persons aged 15 years and over in Employment,2023Q3,Northern and Western,469.5
Persons aged 15 years and over in Employment,2023Q3,Border,209.1
Persons aged 15 years and over in Employment,2023Q3,West,260.4
Persons aged 15 years and over in Employment,2023Q3,Southern,876.9
Persons aged 15 years and over in Employment,2023Q3,Mid-West,254.2
Persons aged 15 years and over in Employment,2023Q3,South-East,232.6
Persons aged 15 years and over in Employment,2023Q3,South-West,390.1
Persons aged 15 years and over in Employment,2023Q3,Eastern and Midland,1349.8
Persons aged 15 years and over in Employment,2023Q3,Dublin,791.7
Persons aged 15 years and over in Employment,2023Q3,Mid-East,398.5
Persons aged 15 years and over in Employment,2023Q3,Midland,159.6
Persons aged 15 years and over in Employment,2023Q4,State,2706.4
Persons aged 15 years and over in Employment,2023Q4,Northern and Western,465.8
Persons aged 15 years and over in Employment,2023Q4,Border,210.0
Persons aged 15 years and over in Employment,2023Q4,West,255.8
Persons aged 15 years and over in Employment,2023Q4,Southern,884.6
Persons aged 15 years and over in Employment,2023Q4,Mid-West,256.6
Persons aged 15 years and over in Employment,2023Q4,South-East,232.4
Persons aged 15 years and over in Employment,2023Q4,South-West,395.7
Persons aged 15 years and over in Employment,2023Q4,Eastern and Midland,1356.0
Persons aged 15 years and over in Employment,2023Q4,Dublin,800.7
Persons aged 15 years and over in Employment,2023Q4,Mid-East,399.2
Persons aged 15 years and over in Employment,2023Q4,Midland,156.1
Persons aged 15 years and over in Employment,2024Q1,State,2704.2
Persons aged 15 years and over in Employment,2024Q1,Northern and Western,458.7
Persons aged 15 years and over in Employment,2024Q1,Border,202.7
Persons aged 15 years and over in Employment,2024Q1,West,256.1
Persons aged 15 years and over in Employment,2024Q1,Southern,870.0
Persons aged 15 years and over in Employment,2024Q1,Mid-West,257.7
Persons aged 15 years and over in Employment,2024Q1,South-East,224.9
Persons aged 15 years and over in Employment,2024Q1,South-West,387.5
Persons aged 15 years and over in Employment,2024Q1,Eastern and Midland,1375.4
Persons aged 15 years and over in Employment,2024Q1,Dublin,817.9
Persons aged 15 years and over in Employment,2024Q1,Mid-East,396.4
Persons aged 15 years and over in Employment,2024Q1,Midland,161.1
Persons aged 15 years and over in Employment,2024Q2,State,2754.2
Persons aged 15 years and over in Employment,2024Q2,Northern and Western,462.1
Persons aged 15 years and over in Employment,2024Q2,Border,209.2
Persons aged 15 years and over in Employment,2024Q2,West,252.9
Persons aged 15 years and over in Employment,2024Q2,Southern,891.8
Persons aged 15 years and over in Employment,2024Q2,Mid-West,267.2
Persons aged 15 years and over in Employment,2024Q2,South-East,227.8
Persons aged 15 years and over in Employment,2024Q2,South-West,396.8
Persons aged 15 years and over in Employment,2024Q2,Eastern and Midland,1400.2
Persons aged 15 years and over in Employment,2024Q2,Dublin,834.6
Persons aged 15 years and over in Employment,2024Q2,Mid-East,405.6
Persons aged 15 years and over in Employment,2024Q2,Midland,160.0
Persons aged 15 years and over in Employment,2024Q3,State,2794.8
Persons aged 15 years and over in Employment,2024Q3,Northern and Western,477.7
Persons aged 15 years and over in Employment,2024Q3,Border,214.2
Persons aged 15 years and over in Employment,2024Q3,West,263.5
Persons aged 15 years and over in Employment,2024Q3,Southern,914.3
Persons aged 15 years and over in Employment,2024Q3,Mid-West,274.2
Persons aged 15 years and over in Employment,2024Q3,South-East,238.3
Persons aged 15 years and over in Employment,2024Q3,South-West,401.8
Persons aged 15 years and over in Employment,2024Q3,Eastern and Midland,1402.8
Persons aged 15 years and over in Employment,2024Q3,Dublin,833.4
Persons aged 15 years and over in Employment,2024Q3,Mid-East,408.0
Persons aged 15 years and over in Employment,2024Q3,Midland,161.5
Persons aged 15 years and over in Employment,2024Q4,State,2776.4
Persons aged 15 years and over in Employment,2024Q4,Northern and Western,468.5
Persons aged 15 years and over in Employment,2024Q4,Border,205.7
Persons aged 15 years and over in Employment,2024Q4,West,262.9
Persons aged 15 years and over in Employment,2024Q4,Southern,921.3
Persons aged 15 years and over in Employment,2024Q4,Mid-West,278.7
Persons aged 15 years and over in Employment,2024Q4,South-East,238.4
Persons aged 15 years and over in Employment,2024Q4,South-West,404.2
Persons aged 15 years and over in Employment,2024Q4,Eastern and Midland,1386.6
Persons aged 15 years and over in Employment,2024Q4,Dublin,822.6
Persons aged 15 years and over in Employment,2024Q4,Mid-East,408.7
Persons aged 15 years and over in Employment,2024Q4,Midland,155.2
Persons aged 15 years and over in Employment,2025Q1,State,2794.1
Persons aged 15 years and over in Employment,2025Q1,Northern and Western,467.4
Persons aged 15 years and over in Employment,2025Q1,Border,206.9
Persons aged 15 years and over in Employment,2025Q1,West,260.5
Persons aged 15 years and over in Employment,2025Q1,Southern,920.3
Persons aged 15 years and over in Employment,2025Q1,Mid-West,277.0
Persons aged 15 years and over in Employment,2025Q1,South-East,239.4
Persons aged 15 years and over in Employment,2025Q1,South-West,403.9
Persons aged 15 years and over in Employment,2025Q1,Eastern and Midland,1406.5
Persons aged 15 years and over in Employment,2025Q1,Dublin,842.1
Persons aged 15 years and over in Employment,2025Q1,Mid-East,405.0
Persons aged 15 years and over in Employment,2025Q1,Midland,159.3
Unemployed Persons aged 15 years and over,2012Q1,State,348.1
Unemployed Persons aged 15 years and over,2012Q1,Northern and Western,59.4
Unemployed Persons aged 15 years and over,2012Q1,Border,22.8
Unemployed Persons aged 15 years and over,2012Q1,West,36.5
Unemployed Persons aged 15 years and over,2012Q1,Southern,126.0
Unemployed Persons aged 15 years and over,2012Q1,Mid-West,45.4
Unemployed Persons aged 15 years and over,2012Q1,South-East,33.0
Unemployed Persons aged 15 years and over,2012Q1,South-West,47.6
Unemployed Persons aged 15 years and over,2012Q1,Eastern and Midland,162.7
Unemployed Persons aged 15 years and over,2012Q1,Dublin,85.1
Unemployed Persons aged 15 years and over,2012Q1,Mid-East,49.2
Unemployed Persons aged 15 years and over,2012Q1,Midland,28.4
Unemployed Persons aged 15 years and over,2012Q2,State,352.2
Unemployed Persons aged 15 years and over,2012Q2,Northern and Western,63.1
Unemployed Persons aged 15 years and over,2012Q2,Border,25.7
Unemployed Persons aged 15 years and over,2012Q2,West,37.4
Unemployed Persons aged 15 years and over,2012Q2,Southern,128.7
Unemployed Persons aged 15 years and over,2012Q2,Mid-West,44.9
Unemployed Persons aged 15 years and over,2012Q2,South-East,32.5
Unemployed Persons aged 15 years and over,2012Q2,South-West,51.3
Unemployed Persons aged 15 years and over,2012Q2,Eastern and Midland,160.4
Unemployed Persons aged 15 years and over,2012Q2,Dublin,79.6
Unemployed Persons aged 15 years and over,2012Q2,Mid-East,53.1
