Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2021Q3,Construction (F),All Countries,148.6
Persons aged 15 years and over in Employment,2021Q3,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Construction (F),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Construction (F),Ireland,130.9
Persons aged 15 years and over in Employment,2021Q3,Construction (F),All countries excluding Ireland,17.7
Persons aged 15 years and over in Employment,2021Q3,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,314.0
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),27.3
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,264.0
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,50.0
Persons aged 15 years and over in Employment,2021Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),All Countries,110.2
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),Ireland,92.8
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),All countries excluding Ireland,17.4
Persons aged 15 years and over in Employment,2021Q3,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),All Countries,178.9
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),19.1
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),Ireland,134.5
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),All countries excluding Ireland,44.4
Persons aged 15 years and over in Employment,2021Q3,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",15.9
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),All Countries,152.4
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),13.3
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),Ireland,100.6
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),All countries excluding Ireland,51.7
Persons aged 15 years and over in Employment,2021Q3,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",26.8
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",All Countries,166.6
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",Ireland,142.2
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)",All countries excluding Ireland,24.4
Persons aged 15 years and over in Employment,2021Q3,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),All Countries,103.5
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),12.3
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),Ireland,78.5
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),All countries excluding Ireland,25.1
Persons aged 15 years and over in Employment,2021Q3,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",All Countries,126.8
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",Ireland,123.5
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q3,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,Education (P),All Countries,212.4
Persons aged 15 years and over in Employment,2021Q3,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q3,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Education (P),Ireland,195.0
Persons aged 15 years and over in Employment,2021Q3,Education (P),All countries excluding Ireland,17.4
Persons aged 15 years and over in Employment,2021Q3,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),All Countries,315.1
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),10.4
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),United Kingdom,7.7
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),Ireland,264.8
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),All countries excluding Ireland,50.3
Persons aged 15 years and over in Employment,2021Q3,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",27.2
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),All Countries,312.4
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),9.6
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),31.2
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),Ireland,250.4
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),All countries excluding Ireland,62.0
Persons aged 15 years and over in Employment,2021Q3,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",17.2
Persons aged 15 years and over in Employment,2021Q3,Industry and Construction (B to F),All Countries,461.0
Persons aged 15 years and over in Employment,2021Q3,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.1
Persons aged 15 years and over in Employment,2021Q3,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),42.9
Persons aged 15 years and over in Employment,2021Q3,Industry and Construction (B to F),United Kingdom,6.7
Persons aged 15 years and over in Employment,2021Q3,Industry and Construction (B to F),Ireland,381.2
