Statistic,Quarter,NACE Rev 2 Economic Sector,value
Students aged 15 years and over in employment (PES),2003Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Students aged 15 years and over in employment (PES),2003Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2003Q1,Accommodation and food service activities (I),21.4
Students aged 15 years and over in employment (PES),2003Q1,Information and communication (J),1.7
Students aged 15 years and over in employment (PES),2003Q1,"Professional, scientific and technical activities (M)",1.7
Students aged 15 years and over in employment (PES),2003Q1,Administrative and support service activities (N),2.0
Students aged 15 years and over in employment (PES),2003Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2003Q1,Education (P),2.0
Students aged 15 years and over in employment (PES),2003Q1,Human health and social work activities (Q),2.7
Students aged 15 years and over in employment (PES),2003Q1,Industry (B to E),2.6
Students aged 15 years and over in employment (PES),2003Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2003Q1,Other NACE activities (R to U),4.6
Students aged 15 years and over in employment (PES),2003Q1,Industry and Construction (B to F),3.5
Students aged 15 years and over in employment (PES),2003Q1,Services (G to U),71.1
Students aged 15 years and over in employment (PES),2003Q1,Not stated,
Students aged 15 years and over in employment (PES),2003Q2,All NACE economic sectors,83.3
Students aged 15 years and over in employment (PES),2003Q2,"Agriculture, forestry and fishing (A)",2.6
Students aged 15 years and over in employment (PES),2003Q2,Construction (F),1.9
Students aged 15 years and over in employment (PES),2003Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.0
Students aged 15 years and over in employment (PES),2003Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2003Q2,Accommodation and food service activities (I),20.4
Students aged 15 years and over in employment (PES),2003Q2,Information and communication (J),1.9
Students aged 15 years and over in employment (PES),2003Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2003Q2,Administrative and support service activities (N),2.9
Students aged 15 years and over in employment (PES),2003Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2003Q2,Education (P),1.7
Students aged 15 years and over in employment (PES),2003Q2,Human health and social work activities (Q),3.1
Students aged 15 years and over in employment (PES),2003Q2,Industry (B to E),4.1
Students aged 15 years and over in employment (PES),2003Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2003Q2,Other NACE activities (R to U),4.6
Students aged 15 years and over in employment (PES),2003Q2,Industry and Construction (B to F),6.1
Students aged 15 years and over in employment (PES),2003Q2,Services (G to U),72.6
Students aged 15 years and over in employment (PES),2003Q2,Not stated,2.0
Students aged 15 years and over in employment (PES),2003Q3,All NACE economic sectors,106.7
Students aged 15 years and over in employment (PES),2003Q3,"Agriculture, forestry and fishing (A)",5.7
Students aged 15 years and over in employment (PES),2003Q3,Construction (F),5.8
Students aged 15 years and over in employment (PES),2003Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),39.0
Students aged 15 years and over in employment (PES),2003Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2003Q3,Accommodation and food service activities (I),24.1
Students aged 15 years and over in employment (PES),2003Q3,Information and communication (J),2.0
Students aged 15 years and over in employment (PES),2003Q3,"Professional, scientific and technical activities (M)",2.4
Students aged 15 years and over in employment (PES),2003Q3,Administrative and support service activities (N),3.5
Students aged 15 years and over in employment (PES),2003Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2003Q3,Education (P),1.6
Students aged 15 years and over in employment (PES),2003Q3,Human health and social work activities (Q),4.3
Students aged 15 years and over in employment (PES),2003Q3,Industry (B to E),5.5
Students aged 15 years and over in employment (PES),2003Q3,"Financial, insurance and real estate activities (K, L)",2.2
Students aged 15 years and over in employment (PES),2003Q3,Other NACE activities (R to U),7.7
Students aged 15 years and over in employment (PES),2003Q3,Industry and Construction (B to F),11.3
Students aged 15 years and over in employment (PES),2003Q3,Services (G to U),89.1
Students aged 15 years and over in employment (PES),2003Q3,Not stated,
Students aged 15 years and over in employment (PES),2003Q4,All NACE economic sectors,76.1
Students aged 15 years and over in employment (PES),2003Q4,"Agriculture, forestry and fishing (A)",1.9
Students aged 15 years and over in employment (PES),2003Q4,Construction (F),
Students aged 15 years and over in employment (PES),2003Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.7
Students aged 15 years and over in employment (PES),2003Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2003Q4,Accommodation and food service activities (I),20.2
Students aged 15 years and over in employment (PES),2003Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2003Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2003Q4,Administrative and support service activities (N),2.1
Students aged 15 years and over in employment (PES),2003Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2003Q4,Education (P),2.2
Students aged 15 years and over in employment (PES),2003Q4,Human health and social work activities (Q),3.2
Students aged 15 years and over in employment (PES),2003Q4,Industry (B to E),2.1
Students aged 15 years and over in employment (PES),2003Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2003Q4,Other NACE activities (R to U),5.6
Students aged 15 years and over in employment (PES),2003Q4,Industry and Construction (B to F),3.2
Students aged 15 years and over in employment (PES),2003Q4,Services (G to U),70.9
Students aged 15 years and over in employment (PES),2003Q4,Not stated,
Students aged 15 years and over in employment (PES),2004Q1,All NACE economic sectors,73.1
Students aged 15 years and over in employment (PES),2004Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2004Q1,Construction (F),
Students aged 15 years and over in employment (PES),2004Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.0
Students aged 15 years and over in employment (PES),2004Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2004Q1,Accommodation and food service activities (I),20.2
Students aged 15 years and over in employment (PES),2004Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2004Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2004Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2004Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2004Q1,Education (P),2.6
Students aged 15 years and over in employment (PES),2004Q1,Human health and social work activities (Q),2.4
Students aged 15 years and over in employment (PES),2004Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2004Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2004Q1,Other NACE activities (R to U),5.0
Students aged 15 years and over in employment (PES),2004Q1,Industry and Construction (B to F),2.4
Students aged 15 years and over in employment (PES),2004Q1,Services (G to U),68.8
Students aged 15 years and over in employment (PES),2004Q1,Not stated,
Students aged 15 years and over in employment (PES),2004Q2,All NACE economic sectors,75.7
Students aged 15 years and over in employment (PES),2004Q2,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2004Q2,Construction (F),2.0
