Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,2000Q2,Male,In employment full-time,961.3
Persons aged 15 years and over,2000Q2,Male,In employment part-time,80.5
Persons aged 15 years and over,2000Q2,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q2,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q2,Male,Unemployed,48.5
Persons aged 15 years and over,2000Q2,Male,Unemployed seeking full-time work/future job-starter,42.8
Persons aged 15 years and over,2000Q2,Male,Unemployed seeking part-time work,3.1
Persons aged 15 years and over,2000Q2,Male,Not in labour force,369.3
Persons aged 15 years and over,2000Q2,Male,Potential additional labour force,13.3
Persons aged 15 years and over,2000Q2,Male,Others not in labour force,356.0
Persons aged 15 years and over,2000Q2,Male,Unemployed seeking work as self-employed,2.6
Persons aged 15 years and over,2000Q2,Female,All ILO economic status,1505.4
Persons aged 15 years and over,2000Q2,Female,In labour force,755.5
Persons aged 15 years and over,2000Q2,Female,In employment,716.4
Persons aged 15 years and over,2000Q2,Female,In employment full-time,495.3
Persons aged 15 years and over,2000Q2,Female,In employment part-time,221.1
Persons aged 15 years and over,2000Q2,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q2,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q2,Female,Unemployed,39.1
Persons aged 15 years and over,2000Q2,Female,Unemployed seeking full-time work/future job-starter,23.5
Persons aged 15 years and over,2000Q2,Female,Unemployed seeking part-time work,15.0
Persons aged 15 years and over,2000Q2,Female,Not in labour force,749.9
Persons aged 15 years and over,2000Q2,Female,Potential additional labour force,12.8
Persons aged 15 years and over,2000Q2,Female,Others not in labour force,737.0
Persons aged 15 years and over,2000Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2000Q3,Both sexes,All ILO economic status,2981.9
Persons aged 15 years and over,2000Q3,Both sexes,In labour force,1900.4
Persons aged 15 years and over,2000Q3,Both sexes,In employment,1818.4
Persons aged 15 years and over,2000Q3,Both sexes,In employment full-time,1512.0
Persons aged 15 years and over,2000Q3,Both sexes,In employment part-time,306.5
Persons aged 15 years and over,2000Q3,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q3,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q3,Both sexes,Unemployed,82.0
Persons aged 15 years and over,2000Q3,Both sexes,Unemployed seeking full-time work/future job-starter,62.8
Persons aged 15 years and over,2000Q3,Both sexes,Unemployed seeking part-time work,16.0
Persons aged 15 years and over,2000Q3,Both sexes,Not in labour force,1081.4
Persons aged 15 years and over,2000Q3,Both sexes,Potential additional labour force,21.9
Persons aged 15 years and over,2000Q3,Both sexes,Others not in labour force,1059.5
Persons aged 15 years and over,2000Q3,Both sexes,Unemployed seeking work as self-employed,3.1
Persons aged 15 years and over,2000Q3,Male,All ILO economic status,1468.4
Persons aged 15 years and over,2000Q3,Male,In labour force,1119.4
Persons aged 15 years and over,2000Q3,Male,In employment,1073.3
Persons aged 15 years and over,2000Q3,Male,In employment full-time,991.8
Persons aged 15 years and over,2000Q3,Male,In employment part-time,81.5
Persons aged 15 years and over,2000Q3,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q3,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q3,Male,Unemployed,46.1
Persons aged 15 years and over,2000Q3,Male,Unemployed seeking full-time work/future job-starter,41.4
Persons aged 15 years and over,2000Q3,Male,Unemployed seeking part-time work,2.3
Persons aged 15 years and over,2000Q3,Male,Not in labour force,349.0
Persons aged 15 years and over,2000Q3,Male,Potential additional labour force,12.1
Persons aged 15 years and over,2000Q3,Male,Others not in labour force,336.9
Persons aged 15 years and over,2000Q3,Male,Unemployed seeking work as self-employed,2.4
Persons aged 15 years and over,2000Q3,Female,All ILO economic status,1513.4
Persons aged 15 years and over,2000Q3,Female,In labour force,781.1
Persons aged 15 years and over,2000Q3,Female,In employment,745.2
Persons aged 15 years and over,2000Q3,Female,In employment full-time,520.2
Persons aged 15 years and over,2000Q3,Female,In employment part-time,224.9
Persons aged 15 years and over,2000Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q3,Female,Unemployed,35.9
Persons aged 15 years and over,2000Q3,Female,Unemployed seeking full-time work/future job-starter,21.5
Persons aged 15 years and over,2000Q3,Female,Unemployed seeking part-time work,13.7
Persons aged 15 years and over,2000Q3,Female,Not in labour force,732.4
Persons aged 15 years and over,2000Q3,Female,Potential additional labour force,9.8
Persons aged 15 years and over,2000Q3,Female,Others not in labour force,722.6
Persons aged 15 years and over,2000Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2000Q4,Both sexes,All ILO economic status,3004.2
Persons aged 15 years and over,2000Q4,Both sexes,In labour force,1856.3
Persons aged 15 years and over,2000Q4,Both sexes,In employment,1787.6
Persons aged 15 years and over,2000Q4,Both sexes,In employment full-time,1484.0
Persons aged 15 years and over,2000Q4,Both sexes,In employment part-time,303.6
Persons aged 15 years and over,2000Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q4,Both sexes,Unemployed,68.8
Persons aged 15 years and over,2000Q4,Both sexes,Unemployed seeking full-time work/future job-starter,52.6
Persons aged 15 years and over,2000Q4,Both sexes,Unemployed seeking part-time work,13.3
Persons aged 15 years and over,2000Q4,Both sexes,Not in labour force,1147.8
Persons aged 15 years and over,2000Q4,Both sexes,Potential additional labour force,20.7
Persons aged 15 years and over,2000Q4,Both sexes,Others not in labour force,1127.1
Persons aged 15 years and over,2000Q4,Both sexes,Unemployed seeking work as self-employed,2.9
Persons aged 15 years and over,2000Q4,Male,All ILO economic status,1480.1
Persons aged 15 years and over,2000Q4,Male,In labour force,1097.7
Persons aged 15 years and over,2000Q4,Male,In employment,1057.7
Persons aged 15 years and over,2000Q4,Male,In employment full-time,978.9
Persons aged 15 years and over,2000Q4,Male,In employment part-time,78.8
Persons aged 15 years and over,2000Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q4,Male,Unemployed,40.0
Persons aged 15 years and over,2000Q4,Male,Unemployed seeking full-time work/future job-starter,35.6
Persons aged 15 years and over,2000Q4,Male,Unemployed seeking part-time work,2.2
Persons aged 15 years and over,2000Q4,Male,Not in labour force,382.4
Persons aged 15 years and over,2000Q4,Male,Potential additional labour force,12.0
Persons aged 15 years and over,2000Q4,Male,Others not in labour force,370.4
Persons aged 15 years and over,2000Q4,Male,Unemployed seeking work as self-employed,2.2
Persons aged 15 years and over,2000Q4,Female,All ILO economic status,1524.1
Persons aged 15 years and over,2000Q4,Female,In labour force,758.6
Persons aged 15 years and over,2000Q4,Female,In employment,729.9
Persons aged 15 years and over,2000Q4,Female,In employment full-time,505.1
Persons aged 15 years and over,2000Q4,Female,In employment part-time,224.8
Persons aged 15 years and over,2000Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2000Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2000Q4,Female,Unemployed,28.7
Persons aged 15 years and over,2000Q4,Female,Unemployed seeking full-time work/future job-starter,17.0
Persons aged 15 years and over,2000Q4,Female,Unemployed seeking part-time work,11.2
Persons aged 15 years and over,2000Q4,Female,Not in labour force,765.4
Persons aged 15 years and over,2000Q4,Female,Potential additional labour force,8.7
Persons aged 15 years and over,2000Q4,Female,Others not in labour force,756.7
Persons aged 15 years and over,2000Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2001Q1,Both sexes,All ILO economic status,3011.7
Persons aged 15 years and over,2001Q1,Both sexes,In labour force,1853.2
Persons aged 15 years and over,2001Q1,Both sexes,In employment,1780.4
Persons aged 15 years and over,2001Q1,Both sexes,In employment full-time,1474.9
Persons aged 15 years and over,2001Q1,Both sexes,In employment part-time,305.5
Persons aged 15 years and over,2001Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q1,Both sexes,Unemployed,72.9
Persons aged 15 years and over,2001Q1,Both sexes,Unemployed seeking full-time work/future job-starter,54.9
Persons aged 15 years and over,2001Q1,Both sexes,Unemployed seeking part-time work,15.1
Persons aged 15 years and over,2001Q1,Both sexes,Not in labour force,1158.5
Persons aged 15 years and over,2001Q1,Both sexes,Potential additional labour force,19.3
Persons aged 15 years and over,2001Q1,Both sexes,Others not in labour force,1139.2
Persons aged 15 years and over,2001Q1,Both sexes,Unemployed seeking work as self-employed,2.8
Persons aged 15 years and over,2001Q1,Male,All ILO economic status,1484.0
Persons aged 15 years and over,2001Q1,Male,In labour force,1094.6
Persons aged 15 years and over,2001Q1,Male,In employment,1053.9
Persons aged 15 years and over,2001Q1,Male,In employment full-time,976.2
Persons aged 15 years and over,2001Q1,Male,In employment part-time,77.7
Persons aged 15 years and over,2001Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q1,Male,Unemployed,40.7
Persons aged 15 years and over,2001Q1,Male,Unemployed seeking full-time work/future job-starter,37.0
Persons aged 15 years and over,2001Q1,Male,Unemployed seeking part-time work,1.7
Persons aged 15 years and over,2001Q1,Male,Not in labour force,389.4
Persons aged 15 years and over,2001Q1,Male,Potential additional labour force,11.6
Persons aged 15 years and over,2001Q1,Male,Others not in labour force,377.8
Persons aged 15 years and over,2001Q1,Male,Unemployed seeking work as self-employed,2.0
Persons aged 15 years and over,2001Q1,Female,All ILO economic status,1527.7
Persons aged 15 years and over,2001Q1,Female,In labour force,758.6
Persons aged 15 years and over,2001Q1,Female,In employment,726.5
Persons aged 15 years and over,2001Q1,Female,In employment full-time,498.7
Persons aged 15 years and over,2001Q1,Female,In employment part-time,227.8
Persons aged 15 years and over,2001Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q1,Female,Unemployed,32.1
Persons aged 15 years and over,2001Q1,Female,Unemployed seeking full-time work/future job-starter,17.9
Persons aged 15 years and over,2001Q1,Female,Unemployed seeking part-time work,13.4
Persons aged 15 years and over,2001Q1,Female,Not in labour force,769.1
Persons aged 15 years and over,2001Q1,Female,Potential additional labour force,7.7
Persons aged 15 years and over,2001Q1,Female,Others not in labour force,761.4
Persons aged 15 years and over,2001Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2001Q2,Both sexes,All ILO economic status,3024.8
Persons aged 15 years and over,2001Q2,Both sexes,In labour force,1887.5
Persons aged 15 years and over,2001Q2,Both sexes,In employment,1809.7
Persons aged 15 years and over,2001Q2,Both sexes,In employment full-time,1497.7
Persons aged 15 years and over,2001Q2,Both sexes,In employment part-time,312.0
Persons aged 15 years and over,2001Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q2,Both sexes,Unemployed,77.8
Persons aged 15 years and over,2001Q2,Both sexes,Unemployed seeking full-time work/future job-starter,59.0
Persons aged 15 years and over,2001Q2,Both sexes,Unemployed seeking part-time work,16.4
Persons aged 15 years and over,2001Q2,Both sexes,Not in labour force,1137.2
Persons aged 15 years and over,2001Q2,Both sexes,Potential additional labour force,21.2
Persons aged 15 years and over,2001Q2,Both sexes,Others not in labour force,1116.0
Persons aged 15 years and over,2001Q2,Both sexes,Unemployed seeking work as self-employed,2.4
Persons aged 15 years and over,2001Q2,Male,All ILO economic status,1490.7
Persons aged 15 years and over,2001Q2,Male,In labour force,1112.6
Persons aged 15 years and over,2001Q2,Male,In employment,1068.7
Persons aged 15 years and over,2001Q2,Male,In employment full-time,990.0
Persons aged 15 years and over,2001Q2,Male,In employment part-time,78.8
