Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,9 Elementary,30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q1,X1 Other/Not stated,34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"1 Managers, directors and senior officials",42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,2 Professional,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,4 Administrative and secreterial,33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,5 Skilled trades,41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"6 Caring, leisure and other services",31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,7 Sales and customer service,29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,"8 Process, plant and machine operatives",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,9 Elementary,31.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q2,X1 Other/Not stated,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"1 Managers, directors and senior officials",42.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,4 Administrative and secreterial,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,5 Skilled trades,41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"6 Caring, leisure and other services",31.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,7 Sales and customer service,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,9 Elementary,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q3,X1 Other/Not stated,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"1 Managers, directors and senior officials",42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,2 Professional,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,4 Administrative and secreterial,33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,5 Skilled trades,41.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"6 Caring, leisure and other services",30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,7 Sales and customer service,28.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,"8 Process, plant and machine operatives",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,9 Elementary,28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2021Q4,X1 Other/Not stated,38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"1 Managers, directors and senior officials",42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,2 Professional,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,3 Associate professional and technical,38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,4 Administrative and secreterial,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"6 Caring, leisure and other services",30.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,7 Sales and customer service,28.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,9 Elementary,28.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q1,X1 Other/Not stated,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,All occupational groups,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"1 Managers, directors and senior officials",42.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,2 Professional,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,5 Skilled trades,42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"6 Caring, leisure and other services",30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,7 Sales and customer service,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,"8 Process, plant and machine operatives",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,9 Elementary,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q2,X1 Other/Not stated,38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,All occupational groups,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,2 Professional,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,3 Associate professional and technical,38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,4 Administrative and secreterial,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,5 Skilled trades,41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"6 Caring, leisure and other services",31.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,7 Sales and customer service,29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,"8 Process, plant and machine operatives",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,9 Elementary,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q3,X1 Other/Not stated,34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,2 Professional,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,4 Administrative and secreterial,33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,5 Skilled trades,41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"6 Caring, leisure and other services",30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,7 Sales and customer service,28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,"8 Process, plant and machine operatives",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,9 Elementary,28.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2022Q4,X1 Other/Not stated,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,All occupational groups,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"1 Managers, directors and senior officials",41.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,2 Professional,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,3 Associate professional and technical,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,7 Sales and customer service,28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,"8 Process, plant and machine operatives",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,9 Elementary,28.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q1,X1 Other/Not stated,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,All occupational groups,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,2 Professional,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,4 Administrative and secreterial,32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,5 Skilled trades,41.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"6 Caring, leisure and other services",30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,7 Sales and customer service,28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"8 Process, plant and machine operatives",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,9 Elementary,29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,X1 Other/Not stated,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,All occupational groups,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"1 Managers, directors and senior officials",41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,2 Professional,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,4 Administrative and secreterial,32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,7 Sales and customer service,28.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"8 Process, plant and machine operatives",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,9 Elementary,28.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,X1 Other/Not stated,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,All occupational groups,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"1 Managers, directors and senior officials",41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,4 Administrative and secreterial,32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,5 Skilled trades,40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"6 Caring, leisure and other services",30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,7 Sales and customer service,27.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,9 Elementary,28.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,X1 Other/Not stated,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,All occupational groups,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"1 Managers, directors and senior officials",40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,3 Associate professional and technical,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,4 Administrative and secreterial,32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,5 Skilled trades,40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"6 Caring, leisure and other services",30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,7 Sales and customer service,27.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,9 Elementary,29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,All occupational groups,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,"1 Managers, directors and senior officials",41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,2 Professional,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,3 Associate professional and technical,37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,5 Skilled trades,40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,"6 Caring, leisure and other services",30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,7 Sales and customer service,28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,9 Elementary,28.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,X1 Other/Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,All occupational groups,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,"1 Managers, directors and senior officials",41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,2 Professional,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,5 Skilled trades,40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,"6 Caring, leisure and other services",30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,7 Sales and customer service,28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,"8 Process, plant and machine operatives",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,9 Elementary,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q3,X1 Other/Not stated,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,All occupational groups,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,"1 Managers, directors and senior officials",41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,2 Professional,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,3 Associate professional and technical,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,"6 Caring, leisure and other services",30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,7 Sales and customer service,28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,"8 Process, plant and machine operatives",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,9 Elementary,27.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q4,X1 Other/Not stated,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,All occupational groups,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,"1 Managers, directors and senior officials",41.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,2 Professional,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,3 Associate professional and technical,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,4 Administrative and secreterial,32.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,7 Sales and customer service,28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,"8 Process, plant and machine operatives",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,9 Elementary,27.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2025Q1,X1 Other/Not stated,33.6
