Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2004Q2,217.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2004Q3,222.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2004Q4,222.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2005Q1,228.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2005Q2,231.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2005Q3,236.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2005Q4,237.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2006Q1,240.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2006Q2,243.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2006Q3,247.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2006Q4,248.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2007Q1,255.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2007Q2,259.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2007Q3,265.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2007Q4,260.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2008Q1,263.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2008Q2,261.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2008Q3,254.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2008Q4,251.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2009Q1,238.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2009Q2,239.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2009Q3,237.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2009Q4,238.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2010Q1,233.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2010Q2,233.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2010Q3,233.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2010Q4,231.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2011Q1,227.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2011Q2,228.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2011Q3,231.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-East,2011Q4,235.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1998Q1,134.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1998Q2,137.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1998Q3,144.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1998Q4,140.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1999Q1,143.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1999Q2,146.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1999Q3,156.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,1999Q4,152.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2000Q1,152.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2000Q2,152.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2000Q3,160.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2000Q4,154.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2001Q1,151.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2001Q2,153.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2001Q3,161.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2001Q4,158.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2002Q1,158.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2002Q2,159.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2002Q3,163.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2002Q4,157.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2003Q1,158.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2003Q2,160.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2003Q3,164.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2003Q4,160.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2004Q1,163.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2004Q2,166.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2004Q3,169.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2004Q4,168.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2005Q1,169.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2005Q2,173.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2005Q3,180.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2005Q4,181.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2006Q1,182.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2006Q2,183.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2006Q3,181.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2006Q4,179.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2007Q1,180.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2007Q2,183.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2007Q3,182.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2007Q4,181.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2008Q1,181.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2008Q2,182.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2008Q3,175.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2008Q4,175.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2009Q1,166.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2009Q2,164.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2009Q3,162.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2009Q4,161.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2010Q1,155.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2010Q2,156.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2010Q3,157.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2010Q4,156.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2011Q1,159.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2011Q2,161.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2011Q3,159.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,Mid-West,2011Q4,160.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1998Q1,158.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1998Q2,159.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1998Q3,166.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1998Q4,165.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1999Q1,166.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1999Q2,171.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1999Q3,181.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,1999Q4,178.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2000Q1,176.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2000Q2,180.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2000Q3,187.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2000Q4,182.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2001Q1,181.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2001Q2,185.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2001Q3,196.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2001Q4,191.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2002Q1,191.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2002Q2,192.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2002Q3,199.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2002Q4,193.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2003Q1,195.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2003Q2,196.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2003Q3,203.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2003Q4,198.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2004Q1,196.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2004Q2,200.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2004Q3,203.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2004Q4,204.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2005Q1,206.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2005Q2,206.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2005Q3,212.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2005Q4,212.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2006Q1,213.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2006Q2,223.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2006Q3,228.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2006Q4,227.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2007Q1,228.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2007Q2,233.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2007Q3,235.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2007Q4,236.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2008Q1,232.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2008Q2,236.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2008Q3,236.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2008Q4,227.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2009Q1,219.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-East,2009Q2,211.0
