Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Services (G to U),
Persons aged 15 years and over in Employment (ILO),1998Q2,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Construction (F),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),1998Q2,"8 Process, plant and machine operatives",Industry (B to E),
