Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Illness or disability,Both sexes,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Illness or disability,Male,3.1
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Illness or disability,Female,1.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Could not find full-time employment,Both sexes,42.1
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Could not find full-time employment,Male,19.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Could not find full-time employment,Female,22.2
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other reasons,Both sexes,177.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other reasons,Male,19.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,Other reasons,Female,158.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,No answer given,Both sexes,9.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,No answer given,Male,2.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q1,No answer given,Female,6.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,All reasons for being in part-time employment,Both sexes,312.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,All reasons for being in part-time employment,Male,78.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,All reasons for being in part-time employment,Female,233.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,"School, education or training",Both sexes,66.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,"School, education or training",Male,31.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,"School, education or training",Female,35.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Illness or disability,Both sexes,5.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Illness or disability,Male,3.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Illness or disability,Female,2.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Could not find full-time employment,Both sexes,43.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Could not find full-time employment,Male,20.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Could not find full-time employment,Female,23.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other reasons,Both sexes,187.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other reasons,Male,21.7
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,Other reasons,Female,165.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,No answer given,Both sexes,8.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,No answer given,Male,1.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q2,No answer given,Female,6.6
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,All reasons for being in part-time employment,Both sexes,318.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,All reasons for being in part-time employment,Male,82.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,All reasons for being in part-time employment,Female,235.6
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,"School, education or training",Both sexes,70.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,"School, education or training",Male,31.7
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,"School, education or training",Female,39.1
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Illness or disability,Both sexes,5.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Illness or disability,Male,3.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Illness or disability,Female,1.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Could not find full-time employment,Both sexes,44.6
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Could not find full-time employment,Male,22.2
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Could not find full-time employment,Female,22.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other reasons,Both sexes,193.2
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other reasons,Male,24.1
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,Other reasons,Female,169.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,No answer given,Both sexes,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q3,No answer given,Female,3.0
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,All reasons for being in part-time employment,Both sexes,317.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,All reasons for being in part-time employment,Male,81.5
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,All reasons for being in part-time employment,Female,235.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,"School, education or training",Both sexes,70.8
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,"School, education or training",Male,31.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,"School, education or training",Female,39.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Illness or disability,Both sexes,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Illness or disability,Male,3.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Illness or disability,Female,1.6
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Could not find full-time employment,Both sexes,43.7
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Could not find full-time employment,Male,22.6
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Could not find full-time employment,Female,21.1
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other reasons,Both sexes,190.2
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other reasons,Male,21.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,Other reasons,Female,168.3
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,No answer given,Both sexes,7.9
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,No answer given,Male,2.4
Persons aged 15 years and over in Part-Time Employment (ILO),2001Q4,No answer given,Female,5.4
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,All reasons for being in part-time employment,Both sexes,318.9
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,All reasons for being in part-time employment,Male,81.8
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,All reasons for being in part-time employment,Female,237.1
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,"School, education or training",Both sexes,72.7
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,"School, education or training",Male,33.1
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,"School, education or training",Female,39.6
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Illness or disability,Both sexes,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Illness or disability,Male,3.7
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Illness or disability,Female,1.2
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Could not find full-time employment,Both sexes,43.2
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Could not find full-time employment,Male,21.1
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Could not find full-time employment,Female,22.2
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other reasons,Both sexes,189.6
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other reasons,Male,21.7
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,Other reasons,Female,167.8
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,No answer given,Both sexes,8.6
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,No answer given,Male,2.3
Persons aged 15 years and over in Part-Time Employment (ILO),2002Q1,No answer given,Female,6.3
