Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2009Q3,287.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2009Q4,280.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2010Q1,280.3
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2010Q2,282.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2010Q3,282.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2010Q4,278.5
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2011Q1,274.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2011Q2,276.8
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2011Q3,279.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2011Q4,274.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2012Q1,274.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2012Q2,271.2
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2012Q3,276.6
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2012Q4,278.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2013Q1,280.6
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2013Q2,280.6
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2013Q3,284.9
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2013Q4,282.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2014Q1,281.3
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2014Q2,283.9
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2014Q3,290.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2014Q4,293.3
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2015Q1,286.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2015Q2,288.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2015Q3,290.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2015Q4,298.3
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2016Q1,291.2
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2016Q2,294.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2016Q3,299.4
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2016Q4,303.2
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2017Q1,298.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2017Q2,300.5
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2017Q3,304.3
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2017Q4,308.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2018Q1,295.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2018Q2,298.1
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2018Q3,301.0
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2018Q4,311.9
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2019Q1,304.7
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2019Q2,297.9
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2019Q3,300.9
Persons aged 15 years and over in Employment,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2019Q4,310.2
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2006Q3,91.0
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2006Q4,89.6
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2007Q1,91.8
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2007Q2,92.2
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2007Q3,90.8
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2007Q4,95.7
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2008Q1,92.3
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2008Q2,91.4
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2008Q3,93.2
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2008Q4,88.1
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2009Q1,90.8
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2009Q2,90.7
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2009Q3,91.8
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2009Q4,88.9
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2010Q1,87.4
Persons aged 15 years and over in Employment,All nationalities,Transportation and storage (H),2010Q2,84.6
