Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",248.0
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Transportation and storage (H),75.9
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Accommodation and food service activities (I),119.7
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Information and communication (J),77.7
Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Professional, scientific and technical activities (M)",82.2
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Administrative and support service activities (N),58.0
Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Public administration and defence, compulsory social security (O)",73.4
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Education (P),97.0
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Human health and social work activities (Q),134.9
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Industry (B to E),337.3
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Industry and Construction (B to F),464.1
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Services (G to U),1127.1
Persons aged 15-89 years in Employment,1999Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",75.7
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Other NACE activities (R to U),84.4
Persons aged 15-89 years in Employment,1999Q3,Both sexes,Not stated,12.2
Persons aged 15-89 years in Employment,1999Q3,Male,All NACE economic sectors,1039.4
Persons aged 15-89 years in Employment,1999Q3,Male,"Agriculture, forestry and fishing (A)",124.8
Persons aged 15-89 years in Employment,1999Q3,Male,Construction (F),122.3
Persons aged 15-89 years in Employment,1999Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",129.4
Persons aged 15-89 years in Employment,1999Q3,Male,Transportation and storage (H),59.8
Persons aged 15-89 years in Employment,1999Q3,Male,Accommodation and food service activities (I),52.1
Persons aged 15-89 years in Employment,1999Q3,Male,Information and communication (J),48.3
Persons aged 15-89 years in Employment,1999Q3,Male,"Professional, scientific and technical activities (M)",48.9
Persons aged 15-89 years in Employment,1999Q3,Male,Administrative and support service activities (N),29.0
Persons aged 15-89 years in Employment,1999Q3,Male,"Public administration and defence, compulsory social security (O)",46.7
Persons aged 15-89 years in Employment,1999Q3,Male,Education (P),33.0
Persons aged 15-89 years in Employment,1999Q3,Male,Human health and social work activities (Q),29.3
Persons aged 15-89 years in Employment,1999Q3,Male,Industry (B to E),236.1
Persons aged 15-89 years in Employment,1999Q3,Male,Industry and Construction (B to F),358.4
Persons aged 15-89 years in Employment,1999Q3,Male,Services (G to U),549.4
Persons aged 15-89 years in Employment,1999Q3,Male,"Financial, insurance and real estate activities (K,L)",35.5
Persons aged 15-89 years in Employment,1999Q3,Male,Other NACE activities (R to U),37.3
Persons aged 15-89 years in Employment,1999Q3,Male,Not stated,6.9
Persons aged 15-89 years in Employment,1999Q3,Female,All NACE economic sectors,707.4
Persons aged 15-89 years in Employment,1999Q3,Female,"Agriculture, forestry and fishing (A)",18.6
Persons aged 15-89 years in Employment,1999Q3,Female,Construction (F),4.5
Persons aged 15-89 years in Employment,1999Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",118.6
Persons aged 15-89 years in Employment,1999Q3,Female,Transportation and storage (H),16.1
Persons aged 15-89 years in Employment,1999Q3,Female,Accommodation and food service activities (I),67.6
Persons aged 15-89 years in Employment,1999Q3,Female,Information and communication (J),29.4
Persons aged 15-89 years in Employment,1999Q3,Female,"Professional, scientific and technical activities (M)",33.3
Persons aged 15-89 years in Employment,1999Q3,Female,Administrative and support service activities (N),29.0
Persons aged 15-89 years in Employment,1999Q3,Female,"Public administration and defence, compulsory social security (O)",26.7
Persons aged 15-89 years in Employment,1999Q3,Female,Education (P),64.0
Persons aged 15-89 years in Employment,1999Q3,Female,Human health and social work activities (Q),105.6
Persons aged 15-89 years in Employment,1999Q3,Female,Industry (B to E),101.2
Persons aged 15-89 years in Employment,1999Q3,Female,Industry and Construction (B to F),105.7
Persons aged 15-89 years in Employment,1999Q3,Female,Services (G to U),577.8
Persons aged 15-89 years in Employment,1999Q3,Female,"Financial, insurance and real estate activities (K,L)",40.3
Persons aged 15-89 years in Employment,1999Q3,Female,Other NACE activities (R to U),47.1
Persons aged 15-89 years in Employment,1999Q3,Female,Not stated,5.3
Persons aged 15-89 years in Employment,1999Q4,Both sexes,All NACE economic sectors,1723.1
Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Agriculture, forestry and fishing (A)",140.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Construction (F),129.9
Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",242.0
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Transportation and storage (H),76.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Accommodation and food service activities (I),107.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Information and communication (J),78.2
Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Professional, scientific and technical activities (M)",83.2
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Administrative and support service activities (N),59.2
Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Public administration and defence, compulsory social security (O)",74.5
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Education (P),100.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Human health and social work activities (Q),135.7
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Industry (B to E),328.4
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Industry and Construction (B to F),458.3
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Services (G to U),1113.6
Persons aged 15-89 years in Employment,1999Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",73.4
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Other NACE activities (R to U),82.7
Persons aged 15-89 years in Employment,1999Q4,Both sexes,Not stated,10.6
Persons aged 15-89 years in Employment,1999Q4,Male,All NACE economic sectors,1026.1
Persons aged 15-89 years in Employment,1999Q4,Male,"Agriculture, forestry and fishing (A)",122.3
Persons aged 15-89 years in Employment,1999Q4,Male,Construction (F),125.9
Persons aged 15-89 years in Employment,1999Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",127.1
Persons aged 15-89 years in Employment,1999Q4,Male,Transportation and storage (H),60.7
Persons aged 15-89 years in Employment,1999Q4,Male,Accommodation and food service activities (I),47.8
Persons aged 15-89 years in Employment,1999Q4,Male,Information and communication (J),49.1
Persons aged 15-89 years in Employment,1999Q4,Male,"Professional, scientific and technical activities (M)",49.4
Persons aged 15-89 years in Employment,1999Q4,Male,Administrative and support service activities (N),29.5
Persons aged 15-89 years in Employment,1999Q4,Male,"Public administration and defence, compulsory social security (O)",46.7
Persons aged 15-89 years in Employment,1999Q4,Male,Education (P),32.2
Persons aged 15-89 years in Employment,1999Q4,Male,Human health and social work activities (Q),30.0
Persons aged 15-89 years in Employment,1999Q4,Male,Industry (B to E),227.9
Persons aged 15-89 years in Employment,1999Q4,Male,Industry and Construction (B to F),353.8
Persons aged 15-89 years in Employment,1999Q4,Male,Services (G to U),543.7
Persons aged 15-89 years in Employment,1999Q4,Male,"Financial, insurance and real estate activities (K,L)",34.6
Persons aged 15-89 years in Employment,1999Q4,Male,Other NACE activities (R to U),36.7
Persons aged 15-89 years in Employment,1999Q4,Male,Not stated,6.3
Persons aged 15-89 years in Employment,1999Q4,Female,All NACE economic sectors,696.9
Persons aged 15-89 years in Employment,1999Q4,Female,"Agriculture, forestry and fishing (A)",18.2
Persons aged 15-89 years in Employment,1999Q4,Female,Construction (F),4.1
Persons aged 15-89 years in Employment,1999Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",114.9
Persons aged 15-89 years in Employment,1999Q4,Female,Transportation and storage (H),15.9
Persons aged 15-89 years in Employment,1999Q4,Female,Accommodation and food service activities (I),59.8
Persons aged 15-89 years in Employment,1999Q4,Female,Information and communication (J),29.1
Persons aged 15-89 years in Employment,1999Q4,Female,"Professional, scientific and technical activities (M)",33.8
Persons aged 15-89 years in Employment,1999Q4,Female,Administrative and support service activities (N),29.7
Persons aged 15-89 years in Employment,1999Q4,Female,"Public administration and defence, compulsory social security (O)",27.7
Persons aged 15-89 years in Employment,1999Q4,Female,Education (P),68.4
Persons aged 15-89 years in Employment,1999Q4,Female,Human health and social work activities (Q),105.8
Persons aged 15-89 years in Employment,1999Q4,Female,Industry (B to E),100.4
Persons aged 15-89 years in Employment,1999Q4,Female,Industry and Construction (B to F),104.5
Persons aged 15-89 years in Employment,1999Q4,Female,Services (G to U),569.8
Persons aged 15-89 years in Employment,1999Q4,Female,"Financial, insurance and real estate activities (K,L)",38.7
Persons aged 15-89 years in Employment,1999Q4,Female,Other NACE activities (R to U),46.1
Persons aged 15-89 years in Employment,1999Q4,Female,Not stated,4.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,All NACE economic sectors,1726.8
Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Agriculture, forestry and fishing (A)",134.5
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Construction (F),135.6
Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",243.8
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Transportation and storage (H),75.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Accommodation and food service activities (I),109.7
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Information and communication (J),75.2
Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Professional, scientific and technical activities (M)",84.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Administrative and support service activities (N),61.7
Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Public administration and defence, compulsory social security (O)",73.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Education (P),102.6
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Human health and social work activities (Q),135.9
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Industry (B to E),327.6
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Industry and Construction (B to F),463.1
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Services (G to U),1118.8
Persons aged 15-89 years in Employment,2000Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",74.4
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Other NACE activities (R to U),82.2
Persons aged 15-89 years in Employment,2000Q1,Both sexes,Not stated,10.3
Persons aged 15-89 years in Employment,2000Q1,Male,All NACE economic sectors,1029.2
Persons aged 15-89 years in Employment,2000Q1,Male,"Agriculture, forestry and fishing (A)",116.9
Persons aged 15-89 years in Employment,2000Q1,Male,Construction (F),131.0
Persons aged 15-89 years in Employment,2000Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",129.0
Persons aged 15-89 years in Employment,2000Q1,Male,Transportation and storage (H),60.3
Persons aged 15-89 years in Employment,2000Q1,Male,Accommodation and food service activities (I),49.7
Persons aged 15-89 years in Employment,2000Q1,Male,Information and communication (J),47.9
Persons aged 15-89 years in Employment,2000Q1,Male,"Professional, scientific and technical activities (M)",49.5
Persons aged 15-89 years in Employment,2000Q1,Male,Administrative and support service activities (N),31.2
Persons aged 15-89 years in Employment,2000Q1,Male,"Public administration and defence, compulsory social security (O)",46.2
Persons aged 15-89 years in Employment,2000Q1,Male,Education (P),33.8
Persons aged 15-89 years in Employment,2000Q1,Male,Human health and social work activities (Q),29.5
Persons aged 15-89 years in Employment,2000Q1,Male,Industry (B to E),225.6
Persons aged 15-89 years in Employment,2000Q1,Male,Industry and Construction (B to F),356.6
Persons aged 15-89 years in Employment,2000Q1,Male,Services (G to U),549.4
Persons aged 15-89 years in Employment,2000Q1,Male,"Financial, insurance and real estate activities (K,L)",35.4
Persons aged 15-89 years in Employment,2000Q1,Male,Other NACE activities (R to U),37.0
