Statistic,Quarter,Age Group,Sex,value
Person aged 15 years and over in the Labour Force,2000Q2,15 - 24 years,Both sexes,423.1
Person aged 15 years and over in the Labour Force,2000Q2,15 - 24 years,Male,234.7
Person aged 15 years and over in the Labour Force,2000Q2,15 - 24 years,Female,188.4
Person aged 15 years and over in the Labour Force,2000Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2000Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2000Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2000Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2000Q2,15 years and over,Both sexes,1845.8
Person aged 15 years and over in the Labour Force,2000Q2,15 years and over,Male,1090.3
Person aged 15 years and over in the Labour Force,2000Q2,15 years and over,Female,755.5
Person aged 15 years and over in the Labour Force,2000Q2,20 - 24 years,Both sexes,264.4
Person aged 15 years and over in the Labour Force,2000Q2,20 - 24 years,Male,141.4
Person aged 15 years and over in the Labour Force,2000Q2,20 - 24 years,Female,123.0
Person aged 15 years and over in the Labour Force,2000Q2,25 - 34 years,Both sexes,485.3
Person aged 15 years and over in the Labour Force,2000Q2,25 - 34 years,Male,267.4
Person aged 15 years and over in the Labour Force,2000Q2,25 - 34 years,Female,217.9
Person aged 15 years and over in the Labour Force,2000Q2,35 - 44 years,Both sexes,426.7
Person aged 15 years and over in the Labour Force,2000Q2,35 - 44 years,Male,251.7
Person aged 15 years and over in the Labour Force,2000Q2,35 - 44 years,Female,175.0
Person aged 15 years and over in the Labour Force,2000Q2,45 - 54 years,Both sexes,327.4
Person aged 15 years and over in the Labour Force,2000Q2,45 - 54 years,Male,205.7
Person aged 15 years and over in the Labour Force,2000Q2,45 - 54 years,Female,121.7
Person aged 15 years and over in the Labour Force,2000Q2,55 - 59 years,Both sexes,96.3
Person aged 15 years and over in the Labour Force,2000Q2,55 - 59 years,Male,65.7
Person aged 15 years and over in the Labour Force,2000Q2,55 - 59 years,Female,30.6
Person aged 15 years and over in the Labour Force,2000Q2,60 - 64 years,Both sexes,54.9
Person aged 15 years and over in the Labour Force,2000Q2,60 - 64 years,Male,40.3
Person aged 15 years and over in the Labour Force,2000Q2,60 - 64 years,Female,14.6
Person aged 15 years and over in the Labour Force,2000Q2,65 years and over,Both sexes,32.1
Person aged 15 years and over in the Labour Force,2000Q2,65 years and over,Male,24.8
Person aged 15 years and over in the Labour Force,2000Q2,65 years and over,Female,7.2
Person aged 15 years and over in the Labour Force,2000Q2,25 - 74 years,Both sexes,1417.4
Person aged 15 years and over in the Labour Force,2000Q2,25 - 74 years,Male,851.6
Person aged 15 years and over in the Labour Force,2000Q2,25 - 74 years,Female,565.9
Person aged 15 years and over in the Labour Force,2000Q3,15 - 19 years,Both sexes,192.1
Person aged 15 years and over in the Labour Force,2000Q3,15 - 19 years,Male,110.7
Person aged 15 years and over in the Labour Force,2000Q3,15 - 19 years,Female,81.3
Person aged 15 years and over in the Labour Force,2000Q3,15 - 24 years,Both sexes,472.7
Person aged 15 years and over in the Labour Force,2000Q3,15 - 24 years,Male,258.2
Person aged 15 years and over in the Labour Force,2000Q3,15 - 24 years,Female,214.5
Person aged 15 years and over in the Labour Force,2000Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2000Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2000Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2000Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2000Q3,15 years and over,Both sexes,1900.4
Person aged 15 years and over in the Labour Force,2000Q3,15 years and over,Male,1119.4
Person aged 15 years and over in the Labour Force,2000Q3,15 years and over,Female,781.1
Person aged 15 years and over in the Labour Force,2000Q3,20 - 24 years,Both sexes,280.6
Person aged 15 years and over in the Labour Force,2000Q3,20 - 24 years,Male,147.5
Person aged 15 years and over in the Labour Force,2000Q3,20 - 24 years,Female,133.1
Person aged 15 years and over in the Labour Force,2000Q3,25 - 34 years,Both sexes,488.9
Person aged 15 years and over in the Labour Force,2000Q3,25 - 34 years,Male,270.1
Person aged 15 years and over in the Labour Force,2000Q3,25 - 34 years,Female,218.7
Person aged 15 years and over in the Labour Force,2000Q3,35 - 44 years,Both sexes,427.3
Person aged 15 years and over in the Labour Force,2000Q3,35 - 44 years,Male,253.4
Person aged 15 years and over in the Labour Force,2000Q3,35 - 44 years,Female,173.9
Person aged 15 years and over in the Labour Force,2000Q3,45 - 54 years,Both sexes,327.8
Person aged 15 years and over in the Labour Force,2000Q3,45 - 54 years,Male,205.5
Person aged 15 years and over in the Labour Force,2000Q3,45 - 54 years,Female,122.3
Person aged 15 years and over in the Labour Force,2000Q3,55 - 59 years,Both sexes,96.7
Person aged 15 years and over in the Labour Force,2000Q3,55 - 59 years,Male,66.3
Person aged 15 years and over in the Labour Force,2000Q3,55 - 59 years,Female,30.4
Person aged 15 years and over in the Labour Force,2000Q3,60 - 64 years,Both sexes,56.4
Person aged 15 years and over in the Labour Force,2000Q3,60 - 64 years,Male,41.4
Person aged 15 years and over in the Labour Force,2000Q3,60 - 64 years,Female,15.1
Person aged 15 years and over in the Labour Force,2000Q3,65 years and over,Both sexes,30.6
Person aged 15 years and over in the Labour Force,2000Q3,65 years and over,Male,24.4
Person aged 15 years and over in the Labour Force,2000Q3,65 years and over,Female,6.2
Person aged 15 years and over in the Labour Force,2000Q3,25 - 74 years,Both sexes,1422.9
Person aged 15 years and over in the Labour Force,2000Q3,25 - 74 years,Male,857.4
Person aged 15 years and over in the Labour Force,2000Q3,25 - 74 years,Female,565.5
Person aged 15 years and over in the Labour Force,2000Q4,15 - 19 years,Both sexes,144.3
Person aged 15 years and over in the Labour Force,2000Q4,15 - 19 years,Male,85.3
Person aged 15 years and over in the Labour Force,2000Q4,15 - 19 years,Female,58.9
Person aged 15 years and over in the Labour Force,2000Q4,15 - 24 years,Both sexes,411.8
Person aged 15 years and over in the Labour Force,2000Q4,15 - 24 years,Male,227.5
Person aged 15 years and over in the Labour Force,2000Q4,15 - 24 years,Female,184.3
Person aged 15 years and over in the Labour Force,2000Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2000Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2000Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2000Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2000Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2000Q4,15 years and over,Both sexes,1856.3
Person aged 15 years and over in the Labour Force,2000Q4,15 years and over,Male,1097.7
Person aged 15 years and over in the Labour Force,2000Q4,15 years and over,Female,758.6
Person aged 15 years and over in the Labour Force,2000Q4,20 - 24 years,Both sexes,267.5
Person aged 15 years and over in the Labour Force,2000Q4,20 - 24 years,Male,142.2
Person aged 15 years and over in the Labour Force,2000Q4,20 - 24 years,Female,125.3
Person aged 15 years and over in the Labour Force,2000Q4,25 - 34 years,Both sexes,494.7
Person aged 15 years and over in the Labour Force,2000Q4,25 - 34 years,Male,273.0
Person aged 15 years and over in the Labour Force,2000Q4,25 - 34 years,Female,221.7
Person aged 15 years and over in the Labour Force,2000Q4,35 - 44 years,Both sexes,429.5
Person aged 15 years and over in the Labour Force,2000Q4,35 - 44 years,Male,254.7
Person aged 15 years and over in the Labour Force,2000Q4,35 - 44 years,Female,174.8
Person aged 15 years and over in the Labour Force,2000Q4,45 - 54 years,Both sexes,331.5
Person aged 15 years and over in the Labour Force,2000Q4,45 - 54 years,Male,207.5
Person aged 15 years and over in the Labour Force,2000Q4,45 - 54 years,Female,124.0
Person aged 15 years and over in the Labour Force,2000Q4,55 - 59 years,Both sexes,100.9
Person aged 15 years and over in the Labour Force,2000Q4,55 - 59 years,Male,68.8
Person aged 15 years and over in the Labour Force,2000Q4,55 - 59 years,Female,32.2
Person aged 15 years and over in the Labour Force,2000Q4,60 - 64 years,Both sexes,56.8
Person aged 15 years and over in the Labour Force,2000Q4,60 - 64 years,Male,41.4
Person aged 15 years and over in the Labour Force,2000Q4,60 - 64 years,Female,15.5
Person aged 15 years and over in the Labour Force,2000Q4,65 years and over,Both sexes,31.0
Person aged 15 years and over in the Labour Force,2000Q4,65 years and over,Male,24.8
Person aged 15 years and over in the Labour Force,2000Q4,65 years and over,Female,6.2
Person aged 15 years and over in the Labour Force,2000Q4,25 - 74 years,Both sexes,1439.6
Person aged 15 years and over in the Labour Force,2000Q4,25 - 74 years,Male,866.3
Person aged 15 years and over in the Labour Force,2000Q4,25 - 74 years,Female,573.3
Person aged 15 years and over in the Labour Force,2001Q1,15 - 19 years,Both sexes,134.9
Person aged 15 years and over in the Labour Force,2001Q1,15 - 19 years,Male,81.5
Person aged 15 years and over in the Labour Force,2001Q1,15 - 19 years,Female,53.4
Person aged 15 years and over in the Labour Force,2001Q1,15 - 24 years,Both sexes,396.8
Person aged 15 years and over in the Labour Force,2001Q1,15 - 24 years,Male,221.5
Person aged 15 years and over in the Labour Force,2001Q1,15 - 24 years,Female,175.3
Person aged 15 years and over in the Labour Force,2001Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2001Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2001Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2001Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2001Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2001Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2001Q1,15 years and over,Both sexes,1853.2
Person aged 15 years and over in the Labour Force,2001Q1,15 years and over,Male,1094.6
Person aged 15 years and over in the Labour Force,2001Q1,15 years and over,Female,758.6
Person aged 15 years and over in the Labour Force,2001Q1,20 - 24 years,Both sexes,261.9
Person aged 15 years and over in the Labour Force,2001Q1,20 - 24 years,Male,140.0
Person aged 15 years and over in the Labour Force,2001Q1,20 - 24 years,Female,121.9
Person aged 15 years and over in the Labour Force,2001Q1,25 - 34 years,Both sexes,496.7
Person aged 15 years and over in the Labour Force,2001Q1,25 - 34 years,Male,273.5
Person aged 15 years and over in the Labour Force,2001Q1,25 - 34 years,Female,223.2
Person aged 15 years and over in the Labour Force,2001Q1,35 - 44 years,Both sexes,434.3
Person aged 15 years and over in the Labour Force,2001Q1,35 - 44 years,Male,255.7
Person aged 15 years and over in the Labour Force,2001Q1,35 - 44 years,Female,178.6
Person aged 15 years and over in the Labour Force,2001Q1,45 - 54 years,Both sexes,332.0
Person aged 15 years and over in the Labour Force,2001Q1,45 - 54 years,Male,207.6
Person aged 15 years and over in the Labour Force,2001Q1,45 - 54 years,Female,124.4
Person aged 15 years and over in the Labour Force,2001Q1,55 - 59 years,Both sexes,103.5
Person aged 15 years and over in the Labour Force,2001Q1,55 - 59 years,Male,69.5
Person aged 15 years and over in the Labour Force,2001Q1,55 - 59 years,Female,33.9
Person aged 15 years and over in the Labour Force,2001Q1,60 - 64 years,Both sexes,57.4
Person aged 15 years and over in the Labour Force,2001Q1,60 - 64 years,Male,41.4
Person aged 15 years and over in the Labour Force,2001Q1,60 - 64 years,Female,16.0
Person aged 15 years and over in the Labour Force,2001Q1,65 years and over,Both sexes,32.6
Person aged 15 years and over in the Labour Force,2001Q1,65 years and over,Male,25.4
Person aged 15 years and over in the Labour Force,2001Q1,65 years and over,Female,7.2
Person aged 15 years and over in the Labour Force,2001Q1,25 - 74 years,Both sexes,1451.4
Person aged 15 years and over in the Labour Force,2001Q1,25 - 74 years,Male,869.2
Person aged 15 years and over in the Labour Force,2001Q1,25 - 74 years,Female,582.2
Person aged 15 years and over in the Labour Force,2001Q2,15 - 19 years,Both sexes,145.1
Person aged 15 years and over in the Labour Force,2001Q2,15 - 19 years,Male,87.3
Person aged 15 years and over in the Labour Force,2001Q2,15 - 19 years,Female,57.8
Person aged 15 years and over in the Labour Force,2001Q2,15 - 24 years,Both sexes,411.9
Person aged 15 years and over in the Labour Force,2001Q2,15 - 24 years,Male,230.5
Person aged 15 years and over in the Labour Force,2001Q2,15 - 24 years,Female,181.5
Person aged 15 years and over in the Labour Force,2001Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2001Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2001Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2001Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2001Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2001Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2001Q2,15 years and over,Both sexes,1887.5
Person aged 15 years and over in the Labour Force,2001Q2,15 years and over,Male,1112.6
Person aged 15 years and over in the Labour Force,2001Q2,15 years and over,Female,774.9
Person aged 15 years and over in the Labour Force,2001Q2,20 - 24 years,Both sexes,266.8
Person aged 15 years and over in the Labour Force,2001Q2,20 - 24 years,Male,143.1
Person aged 15 years and over in the Labour Force,2001Q2,20 - 24 years,Female,123.7
Person aged 15 years and over in the Labour Force,2001Q2,25 - 34 years,Both sexes,502.7
Person aged 15 years and over in the Labour Force,2001Q2,25 - 34 years,Male,277.1
Person aged 15 years and over in the Labour Force,2001Q2,25 - 34 years,Female,225.6
Person aged 15 years and over in the Labour Force,2001Q2,35 - 44 years,Both sexes,439.0
Person aged 15 years and over in the Labour Force,2001Q2,35 - 44 years,Male,257.5
Person aged 15 years and over in the Labour Force,2001Q2,35 - 44 years,Female,181.6
Person aged 15 years and over in the Labour Force,2001Q2,45 - 54 years,Both sexes,337.8
Person aged 15 years and over in the Labour Force,2001Q2,45 - 54 years,Male,208.4
Person aged 15 years and over in the Labour Force,2001Q2,45 - 54 years,Female,129.4
