Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),190.3
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Transportation and storage (H),55.9
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Accommodation and food service activities (I),85.9
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Information and communication (J),65.0
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,"Professional, scientific and technical activities (M)",54.9
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Administrative and support service activities (N),48.1
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Public administration and defence; compulsory social security (O),69.9
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Education (P),96.4
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Human health and social work activities (Q),117.6
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Industry (B to E),298.3
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,"Financial, insurance and real estate activities (K, L)",65.5
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Other NACE activities (R to U),62.9
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Industry and Construction (B to F),385.5
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Services (G to U),912.6
Employees aged 15 years and over in Employment (ILO),1999Q1,All employees,Not stated,8.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,All NACE economic sectors,1163.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,"Agriculture, forestry and fishing (A)",22.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Construction (F),73.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),166.1
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Transportation and storage (H),52.3
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Accommodation and food service activities (I),68.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Information and communication (J),59.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,"Professional, scientific and technical activities (M)",48.9
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Administrative and support service activities (N),40.1
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Public administration and defence; compulsory social security (O),67.1
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Education (P),76.4
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Human health and social work activities (Q),98.9
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Industry (B to E),277.3
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",61.3
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Other NACE activities (R to U),46.0
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Industry and Construction (B to F),350.9
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Services (G to U),785.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Permanent employees,Not stated,4.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,All NACE economic sectors,118.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,"Agriculture, forestry and fishing (A)",2.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Construction (F),7.4
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.3
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Transportation and storage (H),2.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Accommodation and food service activities (I),16.3
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Information and communication (J),4.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,"Professional, scientific and technical activities (M)",4.8
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Administrative and support service activities (N),3.9
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Public administration and defence; compulsory social security (O),2.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Education (P),11.4
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Human health and social work activities (Q),12.1
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Industry (B to E),17.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.8
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Other NACE activities (R to U),8.1
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Industry and Construction (B to F),24.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Services (G to U),90.7
Employees aged 15 years and over in Employment (ILO),1999Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,All NACE economic sectors,51.4
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,"Agriculture, forestry and fishing (A)",1.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Construction (F),6.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),3.0
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Accommodation and food service activities (I),1.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,"Professional, scientific and technical activities (M)",1.2
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Administrative and support service activities (N),4.0
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Education (P),8.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Human health and social work activities (Q),6.5
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Industry (B to E),3.8
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Other NACE activities (R to U),8.8
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Industry and Construction (B to F),9.9
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Services (G to U),36.6
Employees aged 15 years and over in Employment (ILO),1999Q1,Not stated,Not stated,3.4
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,All NACE economic sectors,1369.2
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,"Agriculture, forestry and fishing (A)",27.2
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Construction (F),90.0
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),195.0
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Transportation and storage (H),57.9
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Accommodation and food service activities (I),92.4
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Information and communication (J),67.1
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,"Professional, scientific and technical activities (M)",59.0
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Administrative and support service activities (N),48.5
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Public administration and defence; compulsory social security (O),71.3
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Education (P),95.9
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Human health and social work activities (Q),122.2
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Industry (B to E),302.7
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,"Financial, insurance and real estate activities (K, L)",67.2
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Other NACE activities (R to U),63.8
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Industry and Construction (B to F),392.7
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Services (G to U),940.2
Employees aged 15 years and over in Employment (ILO),1999Q2,All employees,Not stated,9.2
Employees aged 15 years and over in Employment (ILO),1999Q2,Permanent employees,All NACE economic sectors,1173.8
Employees aged 15 years and over in Employment (ILO),1999Q2,Permanent employees,"Agriculture, forestry and fishing (A)",22.2
Employees aged 15 years and over in Employment (ILO),1999Q2,Permanent employees,Construction (F),75.2
Employees aged 15 years and over in Employment (ILO),1999Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),166.1
