Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2002Q4,South-East,Person sometimes works at home,6.9
Persons aged 15 years and over in employment (ILO),2002Q4,South-East,Person never works at home,159.7
Persons aged 15 years and over in employment (ILO),2002Q4,South-East,Not stated,3.0
Persons aged 15 years and over in employment (ILO),2002Q4,South-East,All persons in employment,193.6
Persons aged 15 years and over in employment (ILO),2002Q4,South-West,Person usually works at home,28.8
Persons aged 15 years and over in employment (ILO),2002Q4,South-West,Person sometimes works at home,10.3
Persons aged 15 years and over in employment (ILO),2002Q4,South-West,Person never works at home,221.0
Persons aged 15 years and over in employment (ILO),2002Q4,South-West,Not stated,5.3
Persons aged 15 years and over in employment (ILO),2002Q4,South-West,All persons in employment,265.3
Persons aged 15 years and over in employment (ILO),2002Q4,West,Person usually works at home,27.0
Persons aged 15 years and over in employment (ILO),2002Q4,West,Person sometimes works at home,6.4
Persons aged 15 years and over in employment (ILO),2002Q4,West,Person never works at home,134.8
Persons aged 15 years and over in employment (ILO),2002Q4,West,Not stated,3.4
Persons aged 15 years and over in employment (ILO),2002Q4,West,All persons in employment,171.6
Persons aged 15 years and over in employment (ILO),2002Q4,Ireland,Person usually works at home,177.8
Persons aged 15 years and over in employment (ILO),2002Q4,Ireland,Person sometimes works at home,89.5
Persons aged 15 years and over in employment (ILO),2002Q4,Ireland,Person never works at home,1544.5
Persons aged 15 years and over in employment (ILO),2002Q4,Ireland,Not stated,38.6
Persons aged 15 years and over in employment (ILO),2002Q4,Ireland,All persons in employment,1850.3
Persons aged 15 years and over in employment (ILO),2003Q1,Border,Person usually works at home,25.4
Persons aged 15 years and over in employment (ILO),2003Q1,Border,Person sometimes works at home,8.1
Persons aged 15 years and over in employment (ILO),2003Q1,Border,Person never works at home,158.9
Persons aged 15 years and over in employment (ILO),2003Q1,Border,Not stated,5.3
Persons aged 15 years and over in employment (ILO),2003Q1,Border,All persons in employment,197.7
Persons aged 15 years and over in employment (ILO),2003Q1,Dublin,Person usually works at home,19.9
Persons aged 15 years and over in employment (ILO),2003Q1,Dublin,Person sometimes works at home,40.3
Persons aged 15 years and over in employment (ILO),2003Q1,Dublin,Person never works at home,478.9
Persons aged 15 years and over in employment (ILO),2003Q1,Dublin,Not stated,20.6
Persons aged 15 years and over in employment (ILO),2003Q1,Dublin,All persons in employment,559.7
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-East,Person usually works at home,16.9
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-East,Person sometimes works at home,14.7
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-East,Person never works at home,171.5
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-East,Not stated,5.0
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-East,All persons in employment,208.2
Persons aged 15 years and over in employment (ILO),2003Q1,Midland,Person usually works at home,13.4
Persons aged 15 years and over in employment (ILO),2003Q1,Midland,Person sometimes works at home,1.2
Persons aged 15 years and over in employment (ILO),2003Q1,Midland,Person never works at home,79.7
Persons aged 15 years and over in employment (ILO),2003Q1,Midland,Not stated,1.8
Persons aged 15 years and over in employment (ILO),2003Q1,Midland,All persons in employment,96.2
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-West,Person usually works at home,20.5
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-West,Person sometimes works at home,4.7
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-West,Person never works at home,127.3
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-West,Not stated,6.5
Persons aged 15 years and over in employment (ILO),2003Q1,Mid-West,All persons in employment,158.9
Persons aged 15 years and over in employment (ILO),2003Q1,South-East,Person usually works at home,24.9
Persons aged 15 years and over in employment (ILO),2003Q1,South-East,Person sometimes works at home,7.4
Persons aged 15 years and over in employment (ILO),2003Q1,South-East,Person never works at home,158.4
Persons aged 15 years and over in employment (ILO),2003Q1,South-East,Not stated,4.8
Persons aged 15 years and over in employment (ILO),2003Q1,South-East,All persons in employment,195.5
Persons aged 15 years and over in employment (ILO),2003Q1,South-West,Person usually works at home,31.3
Persons aged 15 years and over in employment (ILO),2003Q1,South-West,Person sometimes works at home,9.9
Persons aged 15 years and over in employment (ILO),2003Q1,South-West,Person never works at home,216.6
Persons aged 15 years and over in employment (ILO),2003Q1,South-West,Not stated,8.3
Persons aged 15 years and over in employment (ILO),2003Q1,South-West,All persons in employment,266.2
Persons aged 15 years and over in employment (ILO),2003Q1,West,Person usually works at home,27.6
Persons aged 15 years and over in employment (ILO),2003Q1,West,Person sometimes works at home,6.4
Persons aged 15 years and over in employment (ILO),2003Q1,West,Person never works at home,134.5
Persons aged 15 years and over in employment (ILO),2003Q1,West,Not stated,4.8
Persons aged 15 years and over in employment (ILO),2003Q1,West,All persons in employment,173.3
Persons aged 15 years and over in employment (ILO),2003Q1,Ireland,Person usually works at home,179.9
Persons aged 15 years and over in employment (ILO),2003Q1,Ireland,Person sometimes works at home,92.7
Persons aged 15 years and over in employment (ILO),2003Q1,Ireland,Person never works at home,1525.9
Persons aged 15 years and over in employment (ILO),2003Q1,Ireland,Not stated,57.1
Persons aged 15 years and over in employment (ILO),2003Q1,Ireland,All persons in employment,1855.6
Persons aged 15 years and over in employment (ILO),2003Q2,Border,Person usually works at home,26.9
Persons aged 15 years and over in employment (ILO),2003Q2,Border,Person sometimes works at home,8.5
Persons aged 15 years and over in employment (ILO),2003Q2,Border,Person never works at home,164.8
Persons aged 15 years and over in employment (ILO),2003Q2,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,Border,All persons in employment,200.9
Persons aged 15 years and over in employment (ILO),2003Q2,Dublin,Person usually works at home,20.5
Persons aged 15 years and over in employment (ILO),2003Q2,Dublin,Person sometimes works at home,46.3
Persons aged 15 years and over in employment (ILO),2003Q2,Dublin,Person never works at home,493.9
Persons aged 15 years and over in employment (ILO),2003Q2,Dublin,Not stated,4.7
Persons aged 15 years and over in employment (ILO),2003Q2,Dublin,All persons in employment,565.3
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-East,Person usually works at home,18.4
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-East,Person sometimes works at home,14.1
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-East,Person never works at home,180.0
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-East,All persons in employment,213.1
Persons aged 15 years and over in employment (ILO),2003Q2,Midland,Person usually works at home,13.4
Persons aged 15 years and over in employment (ILO),2003Q2,Midland,Person sometimes works at home,1.3
Persons aged 15 years and over in employment (ILO),2003Q2,Midland,Person never works at home,81.8
Persons aged 15 years and over in employment (ILO),2003Q2,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,Midland,All persons in employment,96.7
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-West,Person usually works at home,21.6
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-West,Person sometimes works at home,6.2
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-West,Person never works at home,132.0
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,Mid-West,All persons in employment,160.6
Persons aged 15 years and over in employment (ILO),2003Q2,South-East,Person usually works at home,24.9
Persons aged 15 years and over in employment (ILO),2003Q2,South-East,Person sometimes works at home,7.5
Persons aged 15 years and over in employment (ILO),2003Q2,South-East,Person never works at home,162.9
Persons aged 15 years and over in employment (ILO),2003Q2,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,South-East,All persons in employment,196.1
Persons aged 15 years and over in employment (ILO),2003Q2,South-West,Person usually works at home,31.8
Persons aged 15 years and over in employment (ILO),2003Q2,South-West,Person sometimes works at home,10.8
Persons aged 15 years and over in employment (ILO),2003Q2,South-West,Person never works at home,223.9
Persons aged 15 years and over in employment (ILO),2003Q2,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,South-West,All persons in employment,267.5
Persons aged 15 years and over in employment (ILO),2003Q2,West,Person usually works at home,25.7
Persons aged 15 years and over in employment (ILO),2003Q2,West,Person sometimes works at home,7.3
Persons aged 15 years and over in employment (ILO),2003Q2,West,Person never works at home,140.4
Persons aged 15 years and over in employment (ILO),2003Q2,West,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q2,West,All persons in employment,173.7
Persons aged 15 years and over in employment (ILO),2003Q2,Ireland,Person usually works at home,183.1
Persons aged 15 years and over in employment (ILO),2003Q2,Ireland,Person sometimes works at home,102.1
Persons aged 15 years and over in employment (ILO),2003Q2,Ireland,Person never works at home,1579.7
Persons aged 15 years and over in employment (ILO),2003Q2,Ireland,Not stated,9.1
Persons aged 15 years and over in employment (ILO),2003Q2,Ireland,All persons in employment,1874.0
Persons aged 15 years and over in employment (ILO),2003Q3,Border,Person usually works at home,27.7
Persons aged 15 years and over in employment (ILO),2003Q3,Border,Person sometimes works at home,8.3
Persons aged 15 years and over in employment (ILO),2003Q3,Border,Person never works at home,170.5
Persons aged 15 years and over in employment (ILO),2003Q3,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q3,Border,All persons in employment,207.0
Persons aged 15 years and over in employment (ILO),2003Q3,Dublin,Person usually works at home,21.8
Persons aged 15 years and over in employment (ILO),2003Q3,Dublin,Person sometimes works at home,45.0
Persons aged 15 years and over in employment (ILO),2003Q3,Dublin,Person never works at home,498.0
Persons aged 15 years and over in employment (ILO),2003Q3,Dublin,Not stated,3.6
Persons aged 15 years and over in employment (ILO),2003Q3,Dublin,All persons in employment,568.5
Persons aged 15 years and over in employment (ILO),2003Q3,Mid-East,Person usually works at home,19.1
Persons aged 15 years and over in employment (ILO),2003Q3,Mid-East,Person sometimes works at home,13.4
Persons aged 15 years and over in employment (ILO),2003Q3,Mid-East,Person never works at home,179.7
Persons aged 15 years and over in employment (ILO),2003Q3,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2003Q3,Mid-East,All persons in employment,212.5
Persons aged 15 years and over in employment (ILO),2003Q3,Midland,Person usually works at home,12.8
Persons aged 15 years and over in employment (ILO),2003Q3,Midland,Person sometimes works at home,2.1
