Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Accommodation and food service activities (I),67.4
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Information and communication (J),68.9
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"Professional, scientific and technical activities (M)",73.5
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Administrative and support service activities (N),41.9
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Public administration and defence; compulsory social security (O),66.2
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Education (P),78.2
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Human health and social work activities (Q),91.5
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Industry (B to E),307.3
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,"Financial, insurance and real estate activities (K, L)",65.6
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Other NACE activities (R to U),53.7
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Industry and Construction (B to F),420.2
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Services (G to U),842.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Full-time,Not stated,7.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,All NACE economic sectors,289.4
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"Agriculture, forestry and fishing (A)",19.3
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Construction (F),7.5
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),65.5
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Transportation and storage (H),6.7
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Accommodation and food service activities (I),43.1
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Information and communication (J),5.0
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"Professional, scientific and technical activities (M)",8.7
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Administrative and support service activities (N),13.6
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Public administration and defence; compulsory social security (O),5.2
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Education (P),22.1
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Human health and social work activities (Q),37.9
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Industry (B to E),19.1
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,"Financial, insurance and real estate activities (K, L)",6.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Other NACE activities (R to U),26.8
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Industry and Construction (B to F),26.6
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Services (G to U),241.3
Persons aged 15 years and over in Employment (ILO),1999Q2,Part-time,Not stated,2.2
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,All NACE economic sectors,1746.8
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"Agriculture, forestry and fishing (A)",143.3
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Construction (F),126.8
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),248.0
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Transportation and storage (H),75.9
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Accommodation and food service activities (I),119.7
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Information and communication (J),77.7
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"Professional, scientific and technical activities (M)",82.2
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Administrative and support service activities (N),58.0
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Public administration and defence; compulsory social security (O),73.4
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Education (P),97.0
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Human health and social work activities (Q),134.9
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Industry (B to E),337.3
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,"Financial, insurance and real estate activities (K, L)",75.7
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Other NACE activities (R to U),84.4
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Industry and Construction (B to F),464.1
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Services (G to U),1127.1
Persons aged 15 years and over in Employment (ILO),1999Q3,All employment status,Not stated,12.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,All NACE economic sectors,1447.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"Agriculture, forestry and fishing (A)",122.5
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Construction (F),119.0
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),178.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Transportation and storage (H),69.1
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Accommodation and food service activities (I),73.3
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Information and communication (J),72.5
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"Professional, scientific and technical activities (M)",73.9
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Administrative and support service activities (N),44.3
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Public administration and defence; compulsory social security (O),68.3
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Education (P),77.0
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Human health and social work activities (Q),96.1
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Industry (B to E),317.4
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,"Financial, insurance and real estate activities (K, L)",68.5
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Other NACE activities (R to U),56.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Industry and Construction (B to F),436.4
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Services (G to U),878.5
Persons aged 15 years and over in Employment (ILO),1999Q3,Full-time,Not stated,9.7
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,All NACE economic sectors,299.6
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"Agriculture, forestry and fishing (A)",20.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Construction (F),7.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),69.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Transportation and storage (H),6.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Accommodation and food service activities (I),46.4
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Information and communication (J),5.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"Professional, scientific and technical activities (M)",8.4
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Administrative and support service activities (N),13.8
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Public administration and defence; compulsory social security (O),5.2
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Education (P),20.0
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Human health and social work activities (Q),38.9
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Industry (B to E),19.9
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,"Financial, insurance and real estate activities (K, L)",7.3
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Other NACE activities (R to U),27.6
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Industry and Construction (B to F),27.7
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Services (G to U),248.7
Persons aged 15 years and over in Employment (ILO),1999Q3,Part-time,Not stated,2.4
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,All NACE economic sectors,1723.1
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"Agriculture, forestry and fishing (A)",140.6
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Construction (F),129.9
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),242.0
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Transportation and storage (H),76.6
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Accommodation and food service activities (I),107.6
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Information and communication (J),78.2
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"Professional, scientific and technical activities (M)",83.2
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Administrative and support service activities (N),59.2
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Public administration and defence; compulsory social security (O),74.5
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Education (P),100.6
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Human health and social work activities (Q),135.7
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,Industry (B to E),328.4
Persons aged 15 years and over in Employment (ILO),1999Q4,All employment status,"Financial, insurance and real estate activities (K, L)",73.4
